"","Covidence #","prefix","Total number of patients","Percentage","Comment","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","Measure of Association_number_of_semicolons","value_number_of_semicolons","95% CI_number_of_semicolons","p-value_number_of_semicolons","cancer: Event/Total_number_of_semicolons","Non-cancer: Event/Total_number_of_semicolons","same_number_of_semicolons","cancer(event/total)","cancer(event count)","cancer(total count)","non-cancer(event/total)","non-cancer(event count)","non-cancer(total count)"
"11",71512,"vaccinated","6344 ","11.5",NA,"[ICU]",NA,NA,NA,NA,"0.205 (150/733)","0.163 (790/4848)",NA,NA,NA,NA,0,0,NA,0.205,150,733,0.163,790,4848
"12",71512,"vaccinated","6344 ","11.5",NA,"[mortality]",NA,NA,NA,NA,"0.104 (76/733)","0.052 (252/4848)",NA,NA,NA,NA,0,0,NA,0.104,76,733,0.052,252,4848
"13",71915,"unvaccinated","12884",NA,NA,"[mortality]","aOR","0.934","0.861-1.012",">0.001","0.100 (1310/12884)","0.102(1310/12884)",0,0,0,0,0,0,TRUE,0.1,1310,12884,0.102,1310,12884
"14",71915,"vaccinated","10355",NA,NA,"[mortality]","aOR","1.168","1.028-1.326",">0.001","0.050 (545/10355)","0.048(509/10696)",0,0,0,0,0,0,TRUE,0.05,545,10355,0.048,509,10696
"15",73383,"vaccinated","43046","9.3","raw data taken from supps eTable2. Vaccinated is sum of dose 1, dose 2 and dose 3. Data taken for covid-19 positive cohort   HRs taken from eTable10 (1dose; >2 dose). Note: it is not comparing cancer to non-cancer but vaccinated to unvaccinated so data may not be relevant ","[hospitalisation]","aHR (1 dose)","0.68","0.64-0.71",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",73383,"vaccinated","43046","9.3","raw data taken from supps eTable2. Vaccinated is sum of dose 1, dose 2 and dose 3. Data taken for covid-19 positive cohort   HRs taken from eTable10 (1dose; >2 dose). Note: it is not comparing cancer to non-cancer but vaccinated to unvaccinated so data may not be relevant ","[hospitalisation]"," aHR ( >2 dose)"," 0.42"," 0.39-0.46",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",73383,"vaccinated","43046","9.3","raw data taken from supps eTable2. Vaccinated is sum of dose 1, dose 2 and dose 3. Data taken for covid-19 positive cohort   HRs taken from eTable10 (1dose; >2 dose). Note: it is not comparing cancer to non-cancer but vaccinated to unvaccinated so data may not be relevant ","[ICU]","aHR (1 dose)","0.76","0.68-0.85",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",73383,"vaccinated","43046","9.3","raw data taken from supps eTable2. Vaccinated is sum of dose 1, dose 2 and dose 3. Data taken for covid-19 positive cohort   HRs taken from eTable10 (1dose; >2 dose). Note: it is not comparing cancer to non-cancer but vaccinated to unvaccinated so data may not be relevant ","[ICU]"," aHR ( >2 dose)"," 0.74"," 0.63-0.87",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73383,"vaccinated","43046","9.3","raw data taken from supps eTable2. Vaccinated is sum of dose 1, dose 2 and dose 3. Data taken for covid-19 positive cohort   HRs taken from eTable10 (1dose; >2 dose). Note: it is not comparing cancer to non-cancer but vaccinated to unvaccinated so data may not be relevant ","[mortality]","aHR (1 dose)","0.57","0.51-0.63",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",73383,"vaccinated","43046","9.3","raw data taken from supps eTable2. Vaccinated is sum of dose 1, dose 2 and dose 3. Data taken for covid-19 positive cohort   HRs taken from eTable10 (1dose; >2 dose). Note: it is not comparing cancer to non-cancer but vaccinated to unvaccinated so data may not be relevant ","[mortality]"," aHR ( >2 dose)"," 0.50"," 0.45-0.57",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
