"","Covidence #","Study ID","dateFrom","dateTo","imputation_source","imputed_variant","LAPIS_sumcount","Outbreak_count_total","WT/Wu-1 Total Number of patients","WT/Wu-1 Percentage","Beta Total Number of patients","Beta Percentage","Gamma Total Number of patients","Gamma Percentage","Delta Total Number of patients","Delta Percentage","Omicron Total Number of patients","Omicron Percentage","Unspecified/Total Total Number of patients","Unspecified/Total Percentage","Other Total Number of patients","Other Percentage","more_than_50percent_vaccinated","cancer_at_least_one_vaccine_count","cancer_at_least_one_vaccine proportion","cancer_unvaccinated_count","cancer_unvaccinated_proportion","non_cancer_at_least_one_vaccine_count","non_cancer_at_least_one_vaccine proportion","non_cancer_unvaccinated_count","non_cancer_unvaccinated_proportion","Cancer Age (measure of centre) e.g. mean/median","Cancer Age (centre)","Cancer Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Cancer Age (spread)","Cancer Sex (% male)","Cancer Total number","Control (non-cancer) Age (measure of centre) e.g. mean/median","Control (non-cancer) Age (centre)","Control (non-cancer) Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Control (non-cancer) Age (spread)","Control (non-cancer) Sex (% male)","Control (non-cancer) Total number","prefix","Total number of patients","percentage","Comment","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","cancer(event/total)","cancer(event count)","cancer(total count)","non-cancer(event/total)","non-cancer(event count)","non-cancer(total count)","se","model","Smoking Percentage (cancer)","Smoking Percentage (control)","Hypertension Percentage (cancer)","Hypertension Percentage (control)","Diabetes Mellitus (DM) Percentage (cancer)","Diabetes Mellitus (DM) Percentage (control)","Cardiovascular Disease (CVD) Percentage (cancer)","Cardiovascular Disease (CVD) Percentage (control)","Cerebrovascular Disease Percentage (cancer)","Cerebrovascular Disease Percentage (control)","Chronic Liver Disease Percentage (cancer)","Chronic Liver Disease Percentage (control)","Chronic Kidney Disease Percentage (cancer)","Chronic Kidney Disease Percentage (control)","Chronic Lung Disease Percentage (cancer)","Chronic Lung Disease Percentage (control)","Immunodeficiency/ Immunosuppression Percentage (cancer)","Immunodeficiency/ Immunosuppression Percentage (control)","Autoimmune Disease Percentage (cancer)","Autoimmune Disease Percentage (control)","Others: Please Specify Percentage (cancer)","Others: Please Specify Percentage (control)","Notes Percentage (cancer)","Notes Percentage (control)"
"11","140255","Park 2024","2020-01-01","2022-03-31","LAPIS, Outbreak","Early-clades, Delta",73,16619,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","42.2","397,050","","","","","44.6","397,050","Total (OF ALL CANCERS)",NA,NA,"OR for cancer diagnosis < 1 yearOR for cancer diagnosis < 1 year","[severe disease]","mOR","2.29","2.09-2.50",NA,"1543/397050","1562/397050",0.00388616043319481,1543,397050,0.00393401334844478,1562,397050,0.0359628996956266,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"12","141132","Sullivan 2023","2020-01-01","2021-12-20","LAPIS, Outbreak","Delta",1187618,1221556,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","65","IQR","55-74","0","2200","Median","65","IQR","55-74","0","22000","Breast","2200",NA,"Severe disease: Mechanical ventilation","[hospitalisation]","mOR","0.98","0.88-1.10","0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"13","141132","Sullivan 2023","2020-01-01","2021-12-20","LAPIS, Outbreak","Delta",1187618,1221556,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","65","IQR","55-74","0","2200","Median","65","IQR","55-74","0","22000","Breast","2200",NA,"Severe disease: Mechanical ventilation","[ICU]","mOR","1.07","0.84-1.37","0.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"14","141132","Sullivan 2023","2020-01-01","2021-12-20","LAPIS, Outbreak","Delta",1187618,1221556,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","65","IQR","55-74","0","2200","Median","65","IQR","55-74","0","22000","Breast","2200",NA,"Severe disease: Mechanical ventilation","[mortality]","mOR","0.8","0.57-1.13","0.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"15","141132","Sullivan 2023","2020-01-01","2021-12-20","LAPIS, Outbreak","Delta",1187618,1221556,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","65","IQR","55-74","0","2200","Median","65","IQR","55-74","0","22000","Breast","2200",NA,"Severe disease: Mechanical ventilation","[severe disease]","mOR","0.88","0.63-1.22","0.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"16","141132","Sullivan 2023","2020-01-01","2021-12-20","LAPIS, Outbreak","Delta",1187618,1221556,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","65","IQR","55-74","0","2200","Median","65","IQR","55-74","0","22000","Total (OF ALL CANCERS)","2200",NA,"Severe disease: Mechanical ventilation","[hospitalisation]","mOR","0.98","0.88-1.10","0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"17","141132","Sullivan 2023","2020-01-01","2021-12-20","LAPIS, Outbreak","Delta",1187618,1221556,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","65","IQR","55-74","0","2200","Median","65","IQR","55-74","0","22000","Total (OF ALL CANCERS)","2200",NA,"Severe disease: Mechanical ventilation","[ICU]","mOR","1.07","0.84-1.37","0.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"18","141132","Sullivan 2023","2020-01-01","2021-12-20","LAPIS, Outbreak","Delta",1187618,1221556,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","65","IQR","55-74","0","2200","Median","65","IQR","55-74","0","22000","Total (OF ALL CANCERS)","2200",NA,"Severe disease: Mechanical ventilation","[mortality]","mOR","0.8","0.57-1.13","0.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"19","141132","Sullivan 2023","2020-01-01","2021-12-20","LAPIS, Outbreak","Delta",1187618,1221556,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","65","IQR","55-74","0","2200","Median","65","IQR","55-74","0","22000","Total (OF ALL CANCERS)","2200",NA,"Severe disease: Mechanical ventilation","[severe disease]","mOR","0.88","0.63-1.22","0.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"20","141173","Alsakarneh 2024","2020-01-01","2024-02-01","LAPIS, Outbreak","Omicron_BA",1532054,1778579,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mean","69.6","SD","12.5","51.4%","15416","Mean","70.2","SD","12.2","50.1%","15416","Total (OF ALL CANCERS)","15416",NA,"Intubation","[hospitalisation]","aOR","3.01","2.101-2.435","<0.0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","4.8%","4.8%","64.6%","68.5%","27.6%","29.7%","12.7% (HF), 26.8% (IHD)","13.1% (HF), 26.9% (IHD)","12.2%","13.0%","22.4%","21.7%","18.7%","19.3%","24.9%","25.7%","1.2% (HIV)","1.2% (HIV)",NA,NA,"27.9% (Obesity), 47.7% (Hyperlipidemia), 2.5% (Dementia), 19.3% (Depression), 26.2% (Anxiety), 17.1% (Substance use), 3.0% (Alcohol abuse)","29.0% (Obesity), 50.7% (Hyperlipidemia), 2.5% (Dementia), 20.5% (Depression), 27.9% (Anxiety), 18.0% (Substance use), 3.0% (Alcohol abuse)","",""
"21","141173","Alsakarneh 2024","2020-01-01","2024-02-01","LAPIS, Outbreak","Omicron_BA",1532054,1778579,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mean","69.6","SD","12.5","51.4%","15416","Mean","70.2","SD","12.2","50.1%","15416","Total (OF ALL CANCERS)","15416",NA,"Intubation","[ICU]","aOR","1.00","0.411-2.435","1.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","4.8%","4.8%","64.6%","68.5%","27.6%","29.7%","12.7% (HF), 26.8% (IHD)","13.1% (HF), 26.9% (IHD)","12.2%","13.0%","22.4%","21.7%","18.7%","19.3%","24.9%","25.7%","1.2% (HIV)","1.2% (HIV)",NA,NA,"27.9% (Obesity), 47.7% (Hyperlipidemia), 2.5% (Dementia), 19.3% (Depression), 26.2% (Anxiety), 17.1% (Substance use), 3.0% (Alcohol abuse)","29.0% (Obesity), 50.7% (Hyperlipidemia), 2.5% (Dementia), 20.5% (Depression), 27.9% (Anxiety), 18.0% (Substance use), 3.0% (Alcohol abuse)","",""
"22","141173","Alsakarneh 2024","2020-01-01","2024-02-01","LAPIS, Outbreak","Omicron_BA",1532054,1778579,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mean","69.6","SD","12.5","51.4%","15416","Mean","70.2","SD","12.2","50.1%","15416","Total (OF ALL CANCERS)","15416",NA,"Intubation","[mortality]","aOR","1.00","0.411-2.435","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","4.8%","4.8%","64.6%","68.5%","27.6%","29.7%","12.7% (HF), 26.8% (IHD)","13.1% (HF), 26.9% (IHD)","12.2%","13.0%","22.4%","21.7%","18.7%","19.3%","24.9%","25.7%","1.2% (HIV)","1.2% (HIV)",NA,NA,"27.9% (Obesity), 47.7% (Hyperlipidemia), 2.5% (Dementia), 19.3% (Depression), 26.2% (Anxiety), 17.1% (Substance use), 3.0% (Alcohol abuse)","29.0% (Obesity), 50.7% (Hyperlipidemia), 2.5% (Dementia), 20.5% (Depression), 27.9% (Anxiety), 18.0% (Substance use), 3.0% (Alcohol abuse)","",""
"23","141173","Alsakarneh 2024","2020-01-01","2024-02-01","LAPIS, Outbreak","Omicron_BA",1532054,1778579,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mean","69.6","SD","12.5","51.4%","15416","Mean","70.2","SD","12.2","50.1%","15416","Total (OF ALL CANCERS)","15416",NA,"Intubation","[severe disease]","aOR","1.00","0.411-2.435","1.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","4.8%","4.8%","64.6%","68.5%","27.6%","29.7%","12.7% (HF), 26.8% (IHD)","13.1% (HF), 26.9% (IHD)","12.2%","13.0%","22.4%","21.7%","18.7%","19.3%","24.9%","25.7%","1.2% (HIV)","1.2% (HIV)",NA,NA,"27.9% (Obesity), 47.7% (Hyperlipidemia), 2.5% (Dementia), 19.3% (Depression), 26.2% (Anxiety), 17.1% (Substance use), 3.0% (Alcohol abuse)","29.0% (Obesity), 50.7% (Hyperlipidemia), 2.5% (Dementia), 20.5% (Depression), 27.9% (Anxiety), 18.0% (Substance use), 3.0% (Alcohol abuse)","",""
"24","62120","Brar 2020","2020-03-03","2020-05-15","LAPIS, Outbreak","Early-clades",24417,23182,"","",NA,NA,NA,NA,NA,NA,"","",585,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","72.5","IQR","64.2-79.9","54.7%","117","Median","71.2","IQR","62.1-79.6","54.7%","468","Total (OF ALL CANCERS)","117",NA,NA,"[mortality]","uHR","0.74","0.53-1.03",">.05","29/117","100/468",0.247863247863248,29,117,0.213675213675214,100,468,0.234875540030141,"univariate","33.4","27.7","53.0","57.5","32.5","29.1","","","","","","0.4","2.6","4.9","","","0","0.6",NA,NA,"18.8; 11.1; 7.7; 5.1","16.7; 6.8; 7.1; 6.2","",""
"25","62120","Brar 2020","2020-03-03","2020-05-15","LAPIS, Outbreak","Early-clades",24417,23182,"","",NA,NA,NA,NA,NA,NA,"","",585,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","72.5","IQR","64.2-79.9","54.7%","117","Median","71.2","IQR","62.1-79.6","54.7%","468","Total (OF ALL CANCERS)","117",NA,NA,"[mortality]","mHR","0.98","0.58-1.67","0.894","0.248","0.214",0.248,NA,NA,0.214,NA,NA,NA,"multivariate","33.4","27.7","53.0","57.5","32.5","29.1","","","","","","0.4","2.6","4.9","","","0","0.6",NA,NA,"18.8; 11.1; 7.7; 5.1","16.7; 6.8; 7.1; 6.2","",""
"26","62120","Brar 2020","2020-03-03","2020-05-15","LAPIS, Outbreak","Early-clades",24417,23182,"","",NA,NA,NA,NA,NA,NA,"","",585,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","72.5","IQR","64.2-79.9","54.7%","117","Median","71.2","IQR","62.1-79.6","54.7%","468","Total (OF ALL CANCERS)","117",NA,NA,"[severe disease]","mHR","0.80","0.57-1.13",">.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","33.4","27.7","53.0","57.5","32.5","29.1","","","","","","0.4","2.6","4.9","","","0","0.6",NA,NA,"18.8; 11.1; 7.7; 5.1","16.7; 6.8; 7.1; 6.2","",""
"27","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","Breast","8",NA,NA,"[mortality]","aHR","1.56","0.55-4.38","0.40","0.500 (4/8)",NA,0.5,4,8,NA,NA,NA,NA,"multivariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
"28","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","Gynecological (vaginal, uterine, cervical, ovarian, vulval, endometrial, leiomyosarcoma etc)","9",NA,"NANA","[mortality]","aHR","0.60","0.19-1.96","0.40","0.333 (3/9)",NA,0.333,3,9,NA,NA,NA,NA,"multivariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
"29","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","Thoracic (lung, mesothelioma)","15",NA,NA,"[mortality]","aHR","0.70","0.28-1.79","0.46","0.333 (5/15)",NA,0.333,5,15,NA,NA,NA,NA,"multivariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
"30","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","Total (OF ALL CANCERS)","58",NA,"total = active cancer only, subtypes include active and non-active","[mortality]","aHR","1.64","1.03-2.6","0.04","0.448 (26/58)",NA,0.448,26,58,NA,NA,NA,NA,"multivariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
"31","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","Urology (ureter, bladder, prostate)","24",NA,NA,"[mortality]","aHR","1.65","0.85-3.19","0.14","0.542 (13/24)",NA,0.542,13,24,NA,NA,NA,NA,"multivariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
"32","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","immunotherapy (immune checkpoint inhibitors/CAR-T)","4","6.90","NANA","[mortality]","mHR","1.70","0.39-7.3","0.48","0.500 (2/4)","0.341 (77/226)",0.5,2,4,0.341,77,226,0.876020428841745,"multivariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
"33","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","M0/Stage I-III: No metastasis","58",NA,"NANA","[mortality]","calculatedOR","1.31378299120235",NA,NA,"0.448 (26/58)","0.341 (77/226)",0.448,26,58,0.341,77,226,0.270397317886029,"univariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
"34","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","M1/Stage IV: metastatic disease","19",NA,"NANA","[mortality]","uHR","1.13","0.54-2.37","0.75","0.474 (9/19)","0.341 (77/226)",0.474,9,19,0.341,77,226,0.425622463935533,"univariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
"35","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","Targeted therapy (RTK inhibitor/mAb against receptors)","2","3.45","NA","[mortality]","mHR","3.44","0.44-27.2","0.24","0.500 (1/2)","0.341 (77/226)",0.5,1,2,0.341,77,226,1.23183269633018,"multivariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
"36","62182","Sng 2020","2020-03-01","2020-05-31","LAPIS, Outbreak","Early-clades",38490,30218,"","",NA,NA,NA,NA,NA,NA,"","",320,"100","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"median","71","iqr","62-80","66","94","median","70.5","iqr","60-80","67","226","Hormonal therapy","8","13.8","NANA","[mortality]","mHR","1.94","0.74-5.1","0.18","0.625 (5/8)","0.341 (77/226)",0.625,5,8,0.341,77,226,0.585159629287663,"multivariate","7","6","39","54","26","32","19","26","13","16","3","2","13","12","15","21","4","6",NA,NA,"","","",""
