"","Covidence #","Study ID","dateFrom","dateTo","imputation_source","imputed_variant","LAPIS_sumcount","Outbreak_count_total","WT/Wu-1 Total Number of patients","WT/Wu-1 Percentage","Beta Total Number of patients","Beta Percentage","Gamma Total Number of patients","Gamma Percentage","Delta Total Number of patients","Delta Percentage","Omicron Total Number of patients","Omicron Percentage","Unspecified/Total Total Number of patients","Unspecified/Total Percentage","Other Total Number of patients","Other Percentage","vaccinated Total number of patients","vaccinated Percentage","vaccinated Comment","unvaccinated Total number of patients","unvaccinated Percentage","unvaccinated Comment","Cancer Age (measure of centre) e.g. mean/median","Cancer Age (centre)","Cancer Sex (% male)","prefix","Total number of patients","percentage","Comment","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","cancer(event/total)","cancer(event count)","cancer(total count)","non-cancer(event/total)","non-cancer(event count)","non-cancer(total count)","se","model"
"21","137597","Yiğenoğlu 2020","2020-03-11","2020-07-22","LAPIS, Outbreak","Early-clades",70,395,"","",NA,NA,NA,NA,NA,"","","","1480","100","","",NA,NA,"",NA,"","NA","median","56","53.6","Haematological","740",NA,"uOR","[ICU]","uOR","1.8","1.34-2.41","6.84E-05","0.189 (140/740)","0.115 (85/740)",0.189,140,740,0.115,85,740,0.147004305133941,"univariate"
"22","137597","Yiğenoğlu 2020","2020-03-11","2020-07-22","LAPIS, Outbreak","Early-clades",70,395,"","",NA,NA,NA,NA,NA,"","","","1480","100","","",NA,NA,"",NA,"","NA","median","56","53.6","Haematological","740",NA,"uOR","[mortality]","uOR","0.45","0.32-0.65","8.48E-06","0.138 (102/740)","0.0676 (50/740)",0.138,102,740,0.0676,50,740,0.180295935260144,"univariate"
"23","137597","Yiğenoğlu 2020","2020-03-11","2020-07-22","LAPIS, Outbreak","Early-clades",70,395,"","",NA,NA,NA,NA,NA,"","","","1480","100","","",NA,NA,"",NA,"","NA","median","56","53.6","Total (OF ALL CANCERS)","740",NA,"uOR","[severe disease]","uOR","1.66","1.30-2.11","3.67E-05","0.288 (213/740)","0.196 (145/740)",0.288,213,740,0.196,145,740,0.11955789437587,"univariate"
"24","137597","Yiğenoğlu 2020","2020-03-11","2020-07-22","LAPIS, Outbreak","Early-clades",70,395,"","",NA,NA,NA,NA,NA,"","","","1480","100","","",NA,NA,"",NA,"","NA","median","56","53.6","Total (OF ALL CANCERS)","740",NA,"uOR","[ICU]","uOR","1.8","1.34-2.41","6.84E-05","0.189 (140/740)","0.115 (85/740)",0.189,140,740,0.115,85,740,0.147004305133941,"univariate"
"25","137597","Yiğenoğlu 2020","2020-03-11","2020-07-22","LAPIS, Outbreak","Early-clades",70,395,"","",NA,NA,NA,NA,NA,"","","","1480","100","","",NA,NA,"",NA,"","NA","median","56","53.6","Total (OF ALL CANCERS)","740",NA,"uOR","[mortality]","uOR","0.45","0.32-0.65","8.48E-06","0.138 (102/740)","0.0676 (50/740)",0.138,102,740,0.0676,50,740,0.180295935260144,"univariate"
"26","61253","Shoumariyeh 2020","2020-02-27","2020-05-10","LAPIS, Outbreak","Early-clades",327,2304,"","",NA,NA,NA,NA,NA,"","","","78","100","","",NA,NA,"",NA,"","NA","Median","73","56.4","Haematological","7",NA,"LYMPHOMA/MYELOMA","[ICU]","uOR","4.17","0.93-18.72","0.063","07-Oct","14/39",NA,NA,NA,0.358974358974359,14,39,NA,"univariate"
"27","61253","Shoumariyeh 2020","2020-02-27","2020-05-10","LAPIS, Outbreak","Early-clades",327,2304,"","",NA,NA,NA,NA,NA,"","","","78","100","","",NA,NA,"",NA,"","NA","Median","73","56.4","SOLID AGGREGATED [add all solid values]","29",NA,"NA","[mortality]","uOR","0.47","0.15-1.42","1.218","Jun-29","14/39",NA,NA,NA,0.358974358974359,14,39,NA,"univariate"
"28","61253","Shoumariyeh 2020","2020-02-27","2020-05-10","LAPIS, Outbreak","Early-clades",327,2304,"","",NA,NA,NA,NA,NA,"","","","78","100","","",NA,NA,"",NA,"","NA","Median","73","56.4","Total (OF ALL CANCERS)","39",NA,NA,"[ICU]","uOR","1.24","0.50-3.10","0.658","16/39","14/39",0.41025641025641,16,39,0.358974358974359,14,39,0.430361037630758,"univariate"
"29","61253","Shoumariyeh 2020","2020-02-27","2020-05-10","LAPIS, Outbreak","Early-clades",327,2304,"","",NA,NA,NA,NA,NA,"","","","78","100","","",NA,NA,"",NA,"","NA","Median","73","56.4","Total (OF ALL CANCERS)","39",NA,NA,"[mortality]","uOR","0.46","0.17-1.27","1.135","Aug-39","14/39",NA,NA,NA,0.358974358974359,14,39,NA,"univariate"
"30","61253","Shoumariyeh 2020","2020-02-27","2020-05-10","LAPIS, Outbreak","Early-clades",327,2304,"","",NA,NA,NA,NA,NA,"","","","78","100","","",NA,NA,"",NA,"","NA","Median","73","56.4","Haematological","7",NA,"LYMPHOMA/MYELOMA","[mortality]","uOR","0.45","0.08-2.40","1.346","02-Oct","14/39",NA,NA,NA,0.358974358974359,14,39,NA,"univariate"
"31","61253","Shoumariyeh 2020","2020-02-27","2020-05-10","LAPIS, Outbreak","Early-clades",327,2304,"","",NA,NA,NA,NA,NA,"","","","78","100","","",NA,NA,"",NA,"","NA","Median","73","56.4","SOLID AGGREGATED [add all solid values]","29",NA,"NA","[ICU]","uOR","0.8","0.29-2.24","1.25","Sep-29","14/39",NA,NA,NA,0.358974358974359,14,39,NA,"univariate"
"32","61478","Zhang 2020","2020-01-17","2020-06-17","LAPIS, Outbreak","Early-clades",189,956,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","median; median","56 (breast cancer); 58 (other cancers)","0 (breast cancers); 46.9 (other cancers)","Total (OF ALL CANCERS)","116",NA,"non-cancer data taken from table 5 and cancer data summed across both cohorts from table 6. I calculated crude OR, CI and p-value using this data","[severe disease]","cOR","4.59","2.16 - 9.77","0.0001","0.534 (62/116)","0.200 (11/55)",0.534,62,116,0.2,11,55,0.36584235813277,"univariate"
"33","61478","Zhang 2020","2020-01-17","2020-06-17","LAPIS, Outbreak","Early-clades",189,956,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","median; median","56 (breast cancer); 58 (other cancers)","0 (breast cancers); 46.9 (other cancers)","Total (OF ALL CANCERS)","116",NA,"non-cancer data taken from table 5 and cancer data summed across both cohorts from table 6. I calculated crude OR, CI and p-value using this data","[ICU]","calculatedOR","Inf",NA,NA,"0.069 (8/116)","0 (0/55)",0.069,8,116,0,0,55,Inf,"univariate"
"34","61478","Zhang 2020","2020-01-17","2020-06-17","LAPIS, Outbreak","Early-clades",189,956,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","median; median","56 (breast cancer); 58 (other cancers)","0 (breast cancers); 46.9 (other cancers)","Total (OF ALL CANCERS)","116",NA,"non-cancer data taken from table 5 and cancer data summed across both cohorts from table 6. I calculated crude OR, CI and p-value using this data","[mortality]","calculatedOR","Inf",NA,NA,"0.069 (8/116)","0 (0/55)",0.069,8,116,0,0,55,Inf,"univariate"
"35","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Breast","28",NA,NA,"[mortality]","aOR","1.05","0.36-3.08","0.933","0.143 (4/28)","0.137 (149/1090)",0.143,4,28,0.137,149,1090,0.541611600967815,"multivariate"
"36","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Head and neck","8",NA,"NA","[mortality]","aOR","0.9","0.11-7.39","1.066","0.125 (1/8)","0.137 (149/1090)",0.125,1,8,0.137,149,1090,1.0642503655572,"multivariate"
"37","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Hepatobiliary (liver, pancreas, gall bladder)","7",NA,"NA","[mortality]","aOR","2.53","0.49-13.14","0.277","0.286 (2/7)","0.137 (149/1090)",0.286,2,7,0.137,149,1090,0.806527112653863,"multivariate"
"38","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Gynecological (vaginal, uterine, cervical, ovarian, vulval, endometrial, leiomyosarcoma etc)","13",NA,"NANA","[mortality]","aOR","3.95","1.27-12.23","0.018","0.385 (5/13)","0.137 (149/1090)",0.385,5,13,0.137,149,1090,0.533434079818407,"multivariate"
"39","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Haematological","54",NA,NA,"[mortality]","aOR","3.71","2.08-6.63","1.17E-05","0.370 (20/54)","0.137 (149/1090)",0.37,20,54,0.137,149,1090,0.275948109446599,"multivariate"
"40","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","SOLID AGGREGATED [add all solid values]","164",NA,"NA","[mortality]","aOR","2.11","1.42-3.12","0.0002","0.250 (41/164)","0.137 (149/1090)",0.25,41,164,0.137,149,1090,0.19523484695792,"multivariate"
"41","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Thoracic (lung, mesothelioma)","11 (lung)",NA,NA,"[mortality]","aOR","7.58","2.28-25.15","0.001","0.545 (6/11)","0.137 (149/1090)",0.545,6,11,0.137,149,1090,0.514980192011684,"multivariate"
"42","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Total (OF ALL CANCERS)","218",NA,NA,"[mortality]","aOR","2.45","1.74-3.46","4.53E-07","0.280 (61/218)","0.137 (149/1090)",0.28,61,218,0.137,149,1090,0.169143250456195,"multivariate"
"43","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Upper GI (gastric, oesophageal)","8",NA,"NA","[mortality]","aOR","3.79","0.90-16.02","0.071","0.375 (3/8)","0.137 (149/1090)",0.375,3,8,0.137,149,1090,0.682614220421731,"multivariate"
"44","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","radiotherapy","49","22.5",NA,"[mortality]","uOR","1.83","0.91-3.66","0.089","0.224 (11/49)","0.137 (149/1090)",0.224,11,49,0.137,149,1090,0.34488562562541,"univariate"
"45","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Skin (including melanoma)","3",NA,"NA","[mortality]","aOR","3.16","0.28-35.04","0.358","0.333 (1/3)","0.137 (149/1090)",0.333,1,3,0.137,149,1090,1.15799921153771,"multivariate"
"46","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Chemotherapy","42","19.3",NA,"[mortality]","uOR","1.49","0.69-3.27","0.334","0.190 (8/42)","0.137 (149/1090)",0.19,8,42,0.137,149,1090,0.395522899966813,"univariate"
"47","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","immunotherapy (immune checkpoint inhibitors/CAR-T)","5","2.3","NA","[mortality]","uOR","1.58","0.18-14.22","0.7","0.2000 (1/5)","0.137 (149/1090)",0.2,1,5,0.137,149,1090,1.0989216717258,"univariate"
"48","61922","Mehta 2020","2020-03-18","2020-05-08","LAPIS, Outbreak","Early-clades",16617,23127,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Median","69","58","Lower GI (colorectal, small bowel)","21 (colorectal)",NA,NA,"[mortality]","aOR","3.89","1.58-9.54","0.003","0.381 (8/21)","0.137 (149/1090)",0.381,8,21,0.137,149,1090,0.424556107255191,"multivariate"
"49","61946","Duarte 2020","2020-01-01","2020-10-28","LAPIS, Outbreak","Early-clades",144,7454,"","",NA,NA,NA,NA,NA,"","","","38899(non-matched);927 (pair matched)","100;100","","",NA,NA,"",NA,"","NA","age ranges","non-pair matched: <50 (121); 50-64 (172); 65-79 (1220); >80 (16)   pair matched: <50 (49); 50-64 (99); 65-79 (89); >80 (9) ","non-pair matched: 43.2%;pair matched: 49.6% ","Total (OF ALL CANCERS)","431",NA,NA,"[mortality]","calculatedOR","1.65920859778919",NA,NA,"(265/431) (non-matched)","14255/38468 (non-matched)",0.614849187935035,265,431,0.370567744618904,14255,38468,0.0786760254303396,"univariate"
"50","61946","Duarte 2020","2020-01-01","2020-10-28","LAPIS, Outbreak","Early-clades",144,7454,"","",NA,NA,NA,NA,NA,"","","","38899(non-matched);927 (pair matched)","100;100","","",NA,NA,"",NA,"","NA","age ranges","non-pair matched: <50 (121); 50-64 (172); 65-79 (1220); >80 (16)   pair matched: <50 (49); 50-64 (99); 65-79 (89); >80 (9) ","non-pair matched: 43.2%;pair matched: 49.6% ","Total (OF ALL CANCERS)","431",NA,NA,"[severe disease]","calculatedOR","0.87911569074998",NA,NA,"(97/431) non-matched","(9848/38468) non-matched",0.225058004640371,97,431,0.256004991161485,9848,38468,0.112946903714531,"univariate"
"51","61946","Duarte 2020","2020-01-01","2020-10-28","LAPIS, Outbreak","Early-clades",144,7454,"","",NA,NA,NA,NA,NA,"","","","38899(non-matched);927 (pair matched)","100;100","","",NA,NA,"",NA,"","NA","age ranges","non-pair matched: <50 (121); 50-64 (172); 65-79 (1220); >80 (16)   pair matched: <50 (49); 50-64 (99); 65-79 (89); >80 (9) ","non-pair matched: 43.2%;pair matched: 49.6% ","Total (OF ALL CANCERS)","431",NA,NA,"[severe disease]","calculatedOR","1.03372954615622",NA,NA,"(59/246) pair-matched","(158/681) pair-matched",0.239837398373984,59,246,0.23201174743025,158,681,0.169740201184145,"univariate"
"52","61946","Duarte 2020","2020-01-01","2020-10-28","LAPIS, Outbreak","Early-clades",144,7454,"","",NA,NA,NA,NA,NA,"","","","38899(non-matched);927 (pair matched)","100;100","","",NA,NA,"",NA,"","NA","age ranges","non-pair matched: <50 (121); 50-64 (172); 65-79 (1220); >80 (16)   pair matched: <50 (49); 50-64 (99); 65-79 (89); >80 (9) ","non-pair matched: 43.2%;pair matched: 49.6% ","Unknown","431 (non-matched); 426 (pair-matched)",NA,"NA","[severe]","calculatedOR","0.87911569074998",NA,NA,"97/431 non-matched","9848/38468 non-matched",0.225058004640371,97,431,0.256004991161485,9848,38468,0.112946903714531,"univariate"
"53","61946","Duarte 2020","2020-01-01","2020-10-28","LAPIS, Outbreak","Early-clades",144,7454,"","",NA,NA,NA,NA,NA,"","","","38899(non-matched);927 (pair matched)","100;100","","",NA,NA,"",NA,"","NA","age ranges","non-pair matched: <50 (121); 50-64 (172); 65-79 (1220); >80 (16)   pair matched: <50 (49); 50-64 (99); 65-79 (89); >80 (9) ","non-pair matched: 43.2%;pair matched: 49.6% ","Total (OF ALL CANCERS)","431",NA,NA,"[mortality]","calculatedOR","2.06665168034169",NA,NA,"(162/246) (pair-matched)","217/681 (pair-matched)",0.658536585365854,162,246,0.318649045521292,217,681,0.127728633707008,"univariate"
"54","61946","Duarte 2020","2020-01-01","2020-10-28","LAPIS, Outbreak","Early-clades",144,7454,"","",NA,NA,NA,NA,NA,"","","","38899(non-matched);927 (pair matched)","100;100","","",NA,NA,"",NA,"","NA","age ranges","non-pair matched: <50 (121); 50-64 (172); 65-79 (1220); >80 (16)   pair matched: <50 (49); 50-64 (99); 65-79 (89); >80 (9) ","non-pair matched: 43.2%;pair matched: 49.6% ","Unknown","431 (non-matched); 426 (pair-matched)",NA,"NA","[mortality]","calculatedOR","1.65920859778919",NA,NA,"265/431 non-matched","14255/38468 non-matched",0.614849187935035,265,431,0.370567744618904,14255,38468,0.0786760254303396,"univariate"
"55","61946","Duarte 2020","2020-01-01","2020-10-28","LAPIS, Outbreak","Early-clades",144,7454,"","",NA,NA,NA,NA,NA,"","","","38899(non-matched);927 (pair matched)","100;100","","",NA,NA,"",NA,"","NA","age ranges","non-pair matched: <50 (121); 50-64 (172); 65-79 (1220); >80 (16)   pair matched: <50 (49); 50-64 (99); 65-79 (89); >80 (9) ","non-pair matched: 43.2%;pair matched: 49.6% ","Unknown","431 (non-matched); 426 (pair-matched)",NA,"NA","[mortality]",NA,NA,NA,NA,"162/246 pair-matched","217/ 681 pair-matched",0.658536585365854,162,246,NA,217,NA,NA,"manualclarificationrequired"
