"","Covidence #","Study ID","dateFrom","dateTo","imputation_source","imputed_variant","LAPIS_sumcount","Outbreak_count_total","WT/Wu-1 Total Number of patients","WT/Wu-1 Percentage","Beta Total Number of patients","Beta Percentage","Gamma Total Number of patients","Gamma Percentage","Delta Total Number of patients","Delta Percentage","Omicron Total Number of patients","Omicron Percentage","Unspecified/Total Total Number of patients","Unspecified/Total Percentage","Other Total Number of patients","Other Percentage","more_than_50percent_vaccinated","cancer_at_least_one_vaccine_count","cancer_at_least_one_vaccine proportion","cancer_unvaccinated_count","cancer_unvaccinated_proportion","non_cancer_at_least_one_vaccine_count","non_cancer_at_least_one_vaccine proportion","non_cancer_unvaccinated_count","non_cancer_unvaccinated_proportion","Cancer Age (measure of centre) e.g. mean/median","Cancer Age (centre)","Cancer Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Cancer Age (spread)","Cancer Sex (% male)","Cancer Total number","Control (non-cancer) Age (measure of centre) e.g. mean/median","Control (non-cancer) Age (centre)","Control (non-cancer) Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Control (non-cancer) Age (spread)","Control (non-cancer) Sex (% male)","Control (non-cancer) Total number","prefix","Total number of patients","percentage","Comment","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","cancer(event/total)","cancer(event count)","cancer(total count)","non-cancer(event/total)","non-cancer(event count)","non-cancer(total count)","se","model","Smoking Percentage (cancer)","Smoking Percentage (control)","Hypertension Percentage (cancer)","Hypertension Percentage (control)","Diabetes Mellitus (DM) Percentage (cancer)","Diabetes Mellitus (DM) Percentage (control)","Cardiovascular Disease (CVD) Percentage (cancer)","Cardiovascular Disease (CVD) Percentage (control)","Cerebrovascular Disease Percentage (cancer)","Cerebrovascular Disease Percentage (control)","Chronic Liver Disease Percentage (cancer)","Chronic Liver Disease Percentage (control)","Chronic Kidney Disease Percentage (cancer)","Chronic Kidney Disease Percentage (control)","Chronic Lung Disease Percentage (cancer)","Chronic Lung Disease Percentage (control)","Immunodeficiency/ Immunosuppression Percentage (cancer)","Immunodeficiency/ Immunosuppression Percentage (control)","Autoimmune Disease Percentage (cancer)","Autoimmune Disease Percentage (control)","Others: Please Specify Percentage (cancer)","Others: Please Specify Percentage (control)","Notes Percentage (cancer)","Notes Percentage (control)"
"11","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Total (OF ALL CANCERS)","77",NA,"Primary outcome is defined as ""mortality OR admission to hospice"". Severity defined as ARDSTable 4 and 5","[severe disease]","uOR","0.65","0.34-1.16","0.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"univariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"12","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Total (OF ALL CANCERS)","77",NA,"Primary outcome is defined as ""mortality OR admission to hospice"". Severity defined as ARDSTable 4 and 5","[severe disease]","aOR","0.54","0.23-1.24","0.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"13","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago","[ICU]","mOR","1.90","1.37-2.62",NA,"NR (NR/1168)","NR (NR/38267)",NA,NA,1168,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"14","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago","[hospitalisation]","mOR","1.59","1.22-2.08",NA,"NR (NR/537)","NR (NR/38267)",NA,NA,537,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"15","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Unknown","6143",NA,"Most recent diagnosis within past 3 years","[ICU]","mOR","1.19","0.97-1.46",NA,"NR (NR/6143)","NR (NR/38267)",NA,NA,6143,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"16","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago","[hospitalisation]","mOR","2.75","2.34-3.22",NA,"NR (NR/1168)","NR (NR/38267)",NA,NA,1168,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"17","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Unknown","6143",NA,"Most recent diagnosis within past 3 years","[hospitalisation]","mOR","1.43","1.29-1.58",NA,"NR (NR/6143)","NR (NR/38267)",NA,NA,6143,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"18","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Total (OF ALL CANCERS)","6143",NA,"Composite Outcome as above most recent diagnosis within past 3 years","[hospitalisation]","mOR","1.43","1.29-1.58",NA,"NR (NR/6143)","NR (NR/38267)",NA,NA,6143,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"19","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Total (OF ALL CANCERS)","6143",NA,"Composite Outcome as above most recent diagnosis within past 3 years","[ICU]","mOR","1.19","0.97-1.46",NA,"NR (NR/6143)","NR (NR/38267)",NA,NA,6143,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"20","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Total (OF ALL CANCERS)","6143",NA,"Composite Outcome as above most recent diagnosis within past 3 years","[mortality]","mOR","1.68","1.39-2.04",NA,"NR (NR/6143)","NR (NR/38267)",NA,NA,6143,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"21","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Total (OF ALL CANCERS)","6143",NA,"Composite Outcome as above most recent diagnosis within past 3 years","[severe disease]","mOR","1.48","1.35-1.63",NA,"NR (NR/6143)","NR (NR/38267)",NA,NA,6143,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"22","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago","[mortality]","mOR","2.04","1.27-3.29",NA,"NR (NR/537)","NR (NR/38267)",NA,NA,537,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"23","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago","[severe]","mOR","2.90","2.49-3.38",NA,"NR (NR/1168)","NR (NR/38267)",NA,NA,1168,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"24","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago","[ICU]","mOR","1.58","0.95-2.62",NA,"NR (NR/537)","NR(NR/38267)",NA,NA,537,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"25","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago","[mortality]","mOR","3.01","2.26-4.02",NA,"NR (NR/1168)","NR (NR/38267)",NA,NA,1168,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"26","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago","[severe]","mOR","1.68","1.30-2.16",NA,"NR (NR/537)","NR(NR/38267)",NA,NA,537,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"27","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Unknown","6143",NA,"Most recent diagnosis within past 3 years","[mortality]","mOR","1.68","1.39-2.04",NA,"NR (NR/6143)","NR (NR/38267)",NA,NA,6143,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"28","71402","Salvatore 2023","2020-03-10","2022-02-02","LAPIS, Outbreak","Delta",1213138,1254445,"","",NA,NA,NA,NA,NA,NA,"","",6143,"100","",NA,"no",NA,0.243,NA,0.757,NA,0.243,NA,0.757,"","","","","","6143","","","","","","38267","Unknown","6143",NA,"Most recent diagnosis within past 3 years","[severe]","mOR","1.48","1.35-1.63",NA,"NR (NR/6143)","NR (NR/38267)",NA,NA,6143,NA,NA,38267,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"29","71915","Leuva 2022","2020-12-14","2022-01-25","LAPIS, Outbreak","Delta",1212865,1254040,"","",NA,NA,NA,NA,NA,NA,"","",10355,"100","",NA,"two-separate cohorts",10355,NA,NA,12884,NA,NA,NA,NA,"Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 72 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 67-76 (vaccinated)","94% (not vaccinated), 95%(vaccinated)","10355","Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 73 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 68-77(vaccinated)","94% (not vaccinated), 95% (vaccinated)","10696","Haematological","1842",NA,NA,"[mortality]","aOR","2.154","1.788-2.597","<0.0001","0.095(175/1842)","0.048(509/10696)",0.095,175,1842,0.048,509,10696,0.0911882849718286,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"30","71915","Leuva 2022","2020-12-14","2022-01-25","LAPIS, Outbreak","Delta",1212865,1254040,"","",NA,NA,NA,NA,NA,NA,"","",10355,"100","",NA,"two-separate cohorts",10355,NA,NA,12884,NA,NA,NA,NA,"Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 72 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 67-76 (vaccinated)","94% (not vaccinated), 95%(vaccinated)","10355","Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 73 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 68-77(vaccinated)","94% (not vaccinated), 95% (vaccinated)","10696","Lower GI (colorectal, small bowel)","475",NA,"Colon Cancer","[mortality]","aOR","1.458","0.98-2.170",">0.001","0.061(29/475)","0.048(509/10696)",0.061,29,475,0.048,509,10696,0.196586243708364,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"31","71915","Leuva 2022","2020-12-14","2022-01-25","LAPIS, Outbreak","Delta",1212865,1254040,"","",NA,NA,NA,NA,NA,NA,"","",10355,"100","",NA,"two-separate cohorts",10355,NA,NA,12884,NA,NA,NA,NA,"Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 72 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 67-76 (vaccinated)","94% (not vaccinated), 95%(vaccinated)","10355","Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 73 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 68-77(vaccinated)","94% (not vaccinated), 95% (vaccinated)","10696","Thoracic (lung, mesothelioma)","728",NA,NA,"[mortality]","aOR","1.955","1.486-2.572","<0.0001","0.095(69/728)","0.048(509/10696)",0.095,69,728,0.048,509,10696,0.133882446323611,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"32","71915","Leuva 2022","2020-12-14","2022-01-25","LAPIS, Outbreak","Delta",1212865,1254040,"","",NA,NA,NA,NA,NA,NA,"","",10355,"100","",NA,"two-separate cohorts",10355,NA,NA,12884,NA,NA,NA,NA,"Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 72 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 67-76 (vaccinated)","94% (not vaccinated), 95%(vaccinated)","10355","Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 73 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 68-77(vaccinated)","94% (not vaccinated), 95% (vaccinated)","10696","Total (OF ALL CANCERS)","10355",NA,NA,"[mortality]","aOR","1.168","1.028-1.326","p>0.001","0.052 (545/10355)","0.048(509/10696)",0.052,545,10355,0.048,509,10696,0.063162991748265,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"33","71915","Leuva 2022","2020-12-14","2022-01-25","LAPIS, Outbreak","Delta",1212865,1254040,"","",NA,NA,NA,NA,NA,NA,"","",10355,"100","",NA,"two-separate cohorts",10355,NA,NA,12884,NA,NA,NA,NA,"Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 72 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 67-76 (vaccinated)","94% (not vaccinated), 95%(vaccinated)","10355","Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 73 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 68-77(vaccinated)","94% (not vaccinated), 95% (vaccinated)","10696","Urology (ureter, bladder, prostate)","3224",NA,"Prostate","[mortality]","aOR","0.698","0.559-0.870",">0.001","0.032(102/3224)","0.048(509/10696)",0.032,102,3224,0.048,509,10696,0.110327805664201,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"34","71915","Leuva 2022","2020-12-14","2022-01-25","LAPIS, Outbreak","Delta",1212865,1254040,"","",NA,NA,NA,NA,NA,NA,"","",10355,"100","",NA,"two-separate cohorts",10355,NA,NA,12884,NA,NA,NA,NA,"Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 72 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 67-76 (vaccinated)","94% (not vaccinated), 95%(vaccinated)","10355","Median (not vaccinated); Median (vaccinated)","72 (not vaccinated); 73 (vaccinated)","IQR (not vaccinated); IQR (vaccinated)","64-76 (not vaccinated); 68-77(vaccinated)","94% (not vaccinated), 95% (vaccinated)","10696","SOLID AGGREGATED [add all solid values]","8513",NA,"NA","[mortality]","aOR","0.960","0.835-1.105",">0.001","0.043(370/8513)","0.048(509/10696)",0.043,370,8513,0.048,509,10696,0.0698448247351092,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
