,Covidence ID,Reference,Number of Patients with SARS-CoV-2 and cancer,Number of Patients with SARS-CoV-2 without cancer,Total Number of patients,Smoking Number (cancer),Smoking Percentage (cancer),Smoking Number (control),Smoking Percentage (control),Smoking Measure of Association,Smoking OR/RR value,Smoking 95% Confidence Interval,Smoking p-value,Hypertension Number (cancer),Hypertension Percentage (cancer),Hypertension Number (control),Hypertension Percentage (control),Hypertension Measure of Association,Hypertension OR/RR value,Hypertension 95% Confidence Interval,Hypertension p-value,Diabetes Mellitus (DM) Number (cancer),Diabetes Mellitus (DM) Percentage (cancer),Diabetes Mellitus (DM) Number (control),Diabetes Mellitus (DM) Percentage (control),Diabetes Mellitus (DM) Measure of Association,Diabetes Mellitus (DM) OR/RR value,Diabetes Mellitus (DM) 95% Confidence Interval,Diabetes Mellitus (DM) p-value,Cardiovascular Disease (CVD) Number (cancer),Cardiovascular Disease (CVD) Percentage (cancer),Cardiovascular Disease (CVD) Number (control),Cardiovascular Disease (CVD) Percentage (control),Cardiovascular Disease (CVD) Measure of Association,Cardiovascular Disease (CVD) OR/RR value,Cardiovascular Disease (CVD) 95% Confidence Interval,Cardiovascular Disease (CVD) p-value,Cerebrovascular Disease Number (cancer),Cerebrovascular Disease Percentage (cancer),Cerebrovascular Disease Number (control),Cerebrovascular Disease Percentage (control),Cerebrovascular Disease Measure of Association,Cerebrovascular Disease OR/RR value,Cerebrovascular Disease 95% Confidence Interval,Cerebrovascular Disease p-value,Chronic Liver Disease Number (cancer),Chronic Liver Disease Percentage (cancer),Chronic Liver Disease Number (control),Chronic Liver Disease Percentage (control),Chronic Liver Disease Measure of Association,Chronic Liver Disease OR/RR value,Chronic Liver Disease 95% Confidence Interval,Chronic Liver Disease p-value,Chronic Kidney Disease Number (cancer),Chronic Kidney Disease Percentage (cancer),Chronic Kidney Disease Number (control),Chronic Kidney Disease Percentage (control),Chronic Kidney Disease Measure of Association,Chronic Kidney Disease OR/RR value,Chronic Kidney Disease 95% Confidence Interval,Chronic Kidney Disease p-value,Chronic Lung Disease Number (cancer),Chronic Lung Disease Percentage (cancer),Chronic Lung Disease Number (control),Chronic Lung Disease Percentage (control),Chronic Lung Disease Measure of Association,Chronic Lung Disease OR/RR value,Chronic Lung Disease 95% Confidence Interval,Chronic Lung Disease p-value,Immunodeficiency/ Immunosuppression Number (cancer),Immunodeficiency/ Immunosuppression Percentage (cancer),Immunodeficiency/ Immunosuppression Number (control),Immunodeficiency/ Immunosuppression Percentage (control),Immunodeficiency/ Immunosuppression Measure of Association,Immunodeficiency/ Immunosuppression OR/RR value,Immunodeficiency/ Immunosuppression 95% Confidence Interval,Immunodeficiency/ Immunosuppression p-value,Autoimmune Disease Number (cancer),Autoimmune Disease Percentage (cancer),Autoimmune Disease Number (control),Autoimmune Disease Percentage (control),Autoimmune Disease Measure of Association,Autoimmune Disease OR/RR value,Autoimmune Disease 95% Confidence Interval,Autoimmune Disease p-value,Others: Please Specify Number (cancer),Others: Please Specify Percentage (cancer),Others: Please Specify Number (control),Others: Please Specify Percentage (control),Others: Please Specify Measure of Association,Others: Please Specify OR/RR value,Others: Please Specify 95% Confidence Interval,Others: Please Specify p-value,Notes Number (cancer),Notes Percentage (cancer),Notes Number (control),Notes Percentage (control),Notes Measure of Association,Notes OR/RR value,Notes 95% Confidence Interval,Notes p-value
13,69998,Serraino 2021,466,38268,38734,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,650,21,3132,8.18,OR,2.98,2.71-3.27,,1405,45.4,7205,18.8,OR,3.58,3.32-3.86,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,425,13.7,1986,5.19,OR,2.9,2.60-3.25,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
14,70019,Klein 2021,77,324,401,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,,,132,40.7,,NA,,,,,111,34.3,,NA,,,,,,,,NA,,NA,,,12,3.7,,NA,,NA,,,83,25.6,,NA,,,,,59,18.2,,NA,,NA,NA,NA,28,8.6,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,48,14.8,,,,,,,,,NA,,,
16,70896,Abuhelwa 2022,27760,1022285,1050045,10110,36.42,273260,26.73,,NA,,<0.001,19380,69.81,692565,67.75,,NA,,<0.001,9585,34.53,419910,41.08,,NA,,,6175,22.24,186725,18.27,,NA,,<0.001,,,,,,NA,,NA,1320,4.76,44360,4.34,,NA,,0.151,4790,17.26,150100,14.68,,NA,,<0.001,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,No mention of CVD. I put in numbers of coronary artery disease.,,,,NA,,,
17,71402,Salvatore 2023,6143,38267,44410,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
18,71512,Nolan 2023,7141,90700,97841,3616,50.6,33647,36.9,,NA,,0.079,NA,,NA,NA,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
19,71628,Turtle 2023,5116,134598,139714,1621,31.7,33798,25.1,,NA,,,2049,40.1,57117,42.4,,NA,,,1188,23.2,36322,27,,NA,,,1318,25.8,35597,26.4,,NA,,,,,,,,NA,,NA,229,4.5,3800,2.8,,NA,,NA,790,15.4,18901,14,,NA,,,946,18.5,18495,13.7,,NA,,NA,5116,100,0,0,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Asthma;chronic neurological disorder;chronic haematologic disease;dementia;malnutrition;Rheumatologic disease 511;385;1132;160;559,10;7.5;22.1;5.6;3.1;10.9,17720;13957;3665;15328;2417;12901,13.2;10.4;2.7;11.4;1.8;9.6,,,,,,,,,NA,,,
20,71633,Raad 2023,1115,2851,3966,409,38,348,17,,NA,,<0.0001,546,49,1020,36,,NA,,<0.0001,299,27,6599,23,,NA,,<0.0001,85,12,240,12,,NA,,<0.001,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,75,7,175,9,,NA,,0.07,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
21,71781,Martin 2023,81,2527,2608,NA,NA,NA,NA,,NA,,,39,48.1,1093,43.3,,NA,,0.01,21,25.9,466,18.5,,NA,,0.04,14,17.3,458,18.1,,NA,,0.01,,,,,,NA,,NA,,,,,,NA,,NA,4,4.9,197,7.8,,NA,,0.01,10,12.3,282,11.2,,NA,,0.01,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
22,71915,Leuva 2022,10355,10696,21051,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
23,72593,Anantharaman 2021,33,4380,4413,NA,39,NA,25,,NA,,,NA,42,NA,13,,NA,,,,18,,13,,NA,,,,,,,,NA,,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
24,72854-WTD,Konermann 2023 WT-D,1513,24912,26425,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,166 (Active Cancer/ WT-D);  138(Active Cancer/Omicron),21,3644(No Cancer/WT-D);1890(No Cancer/Omicron),24,,NA,,,120 (Active Cancer/ WT-D); 103 (Active Cancer/Omicron),15,1962(No Cancer/WT-D); 1342(No Cancer/Omicron),13,,NA,,,45 (Active Cancer/ WT-D); 33(Active Cancer/Omicron),5.8,997(No Cancer/WT-D); 676(No Cancer/Omicron),6.6,,NA,,NA,11,1.4,94(No Cancer/WT-D); 85(No Cancer/Omicron),0.6,,NA,,NA,136 (Active Cancer/ WT-D); 110 (Active Cancer/Omicron)  ,18,2332(No Cancer/WT-D); 1334(No Cancer/Omicron),16,,NA,,,99( Active Cancer/ WT-D); 73(Active Cancer/Omicron),13,1396 (No Cancer/WT-D); 842(No Cancer/Omicron),9.3,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,127 (Dyslipidemia Active Cancer/ WT-D); A95 (Dyslipidemia active Cancer/Omicron) 29 (Obesity Active Cancer/ WT-D); 19 (Obesity Active Cancer/Omicron),16 (Dyslipidemia); 13 (Dyslipidemia) 3.7 (Obesity); 2.6 (Obesity) ,2334 (Dyslipidemia No Cancer/WT-D); 1521 (Dyslipidemia No Cancer/Omicron)  992 (Obesity No Cancer/WT-D); 382(Obesity No Cancer/Omicron),16 (Dyslipidemia No Cancer/WT-D); 15 (Dyslipidemia No Cancer/Omicron) 6.6 (Obesity No Cancer/WT-D); 3.9 (Obesity No Cancer/Omicron),,,,,,,,,NA,,,
24,72854-O,Konermann 2023 Omicron,1513,24912,26425,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,166 (Active Cancer/ WT-D);  138(Active Cancer/Omicron),19,3644(No Cancer/WT-D);1890(No Cancer/Omicron),19,,NA,,,120 (Active Cancer/ WT-D); 103 (Active Cancer/Omicron),14,1962(No Cancer/WT-D); 1342(No Cancer/Omicron),14,,NA,,,45 (Active Cancer/ WT-D); 33(Active Cancer/Omicron),4.5,997(No Cancer/WT-D); 676(No Cancer/Omicron),6.8,,NA,,NA,15,2,94(No Cancer/WT-D); 85(No Cancer/Omicron),0.9,,NA,,NA,136 (Active Cancer/ WT-D); 110 (Active Cancer/Omicron)  ,15,2332(No Cancer/WT-D); 1334(No Cancer/Omicron),13,,NA,,,99( Active Cancer/ WT-D); 73(Active Cancer/Omicron),9.9,1396 (No Cancer/WT-D); 842(No Cancer/Omicron),8.5,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,127 (Dyslipidemia Active Cancer/ WT-D); A95 (Dyslipidemia active Cancer/Omicron) 29 (Obesity Active Cancer/ WT-D); 19 (Obesity Active Cancer/Omicron),16 (Dyslipidemia); 13 (Dyslipidemia) 3.7 (Obesity); 2.6 (Obesity) ,2334 (Dyslipidemia No Cancer/WT-D); 1521 (Dyslipidemia No Cancer/Omicron)  992 (Obesity No Cancer/WT-D); 382(Obesity No Cancer/Omicron),16 (Dyslipidemia No Cancer/WT-D); 15 (Dyslipidemia No Cancer/Omicron) 6.6 (Obesity No Cancer/WT-D); 3.9 (Obesity No Cancer/Omicron),,,,,,,,,NA,,,
25,73383,Hosseini-Moghaddam 2023,8378,456196,464574,NA,NA,NA,NA,,NA,,,4219,50.4,108968,23.9,cOR,3.23,3.10-3.38 ,,2475,29.5,69480,15.2,cOR,2.33,2.23-2.45,,1499,17.9,26250,5.8,cOR,3.57,3.37-3.78,,207,2.5,4248,0.9,cOR,2.7,2.34-3.10,NA,124,1.5,1102,0.2,cOR,6.2,5.15-7.48,NA,779,9.3,11959,2.6,cOR,3.81,3.53-4.11,,2035,24.3,83958,18.4,cOR,1.42,1.35-1.50,NA,128,1.5,1715,0.4,cOR,,,,NA,NA,NA,NA,NA,NA,NA,NA,88; 647,1.1; 7.7,2797; 16094,0.6; 3.5,cOR,1.72; 2.29,1.39-2.13; 2.11-2.48,,IBD; Dementia  taken from eTable4 in supps,IBD; Dementia   taken from eTable4 in supps,IBD; Dementia  data taken from eTable2 and cancer data from eTable4 has been subtracted to get non-cancer cohort data,IBD; Dementia,NA,IBD; Dementia,IBD; Dementia,I calculated crude OR and CI and have left p-values for James as discussed
26,73804,Starkey 2023,127322,15801004,15928326,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
27,74954,Kodde 2023,1625,27659,29284,NA,NA,NA,NA,,NA,,,952,58.6,NA,NA,,NA,,,487,29.9,,,,NA,,,402,24.7,,,,NA,,,,,,,,NA,,NA,116,7.1,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
28,75065,Zhou 2023,142,5947,6089,NA,NA,NA,NA,,NA,,,54,38.02,845,14.2,cOR,3.71,2.62 - 5.24,0,11,7.74,132,2.21,cOR,3.7,1.95 - 7.01,0.00007,,,,,,NA,,,9,6.33,112,1.88,cOR,3.53,1.75 - 7.10,5.00E-04,3,2.11,29,0.48,cOR,4.4,1.33 - 14.63,0.0154,1,0.7,15,0.25,cOR,2.8,0.37 - 21.38,0.3245,6,4.22,75,1.26,cOR,3.45,1.48 - 8.07,0.0042,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,"systemic embolism 1, gastrointestinal bleeding 12, obesity 1, dementia and alzheimer's 3, heart failure 1, atrial fibrillation 5, ventricular tachycardia/fibrillation 3, acute MI 6, ischaemic heart disease 16, peripheral vascular disease 2","systemic embolism 0.7, gastrointestinal bleeding 8.45, obesity 0.7, dementia and alzheimer's 2,11, heart failure 0.70, atrial fibrillation 3.52, ventricular tachycardia/fibrillation 2.11, acute MI 4.22, ischaemic heart disease 11.26, peripheral vascular disease 1.4","systemic embolism 16, gastrointestinal bleeding 103, obesity 23, dementia and alzheimer's 22, heart failure 31, atrial fibrillation 84, ventricular tachycardia/fibrillation 28, acute MI 68, ischaemic heart disease 180, peripheral vascular disease 25","systemic embolism 0.26, gastrointestinal bleeding 1.73, obesity 0.38, dementia and alzheimer's 0.36, heart failure 0.52, atrial fibrillation 1.41, ventricular tachycardia/fibrillation 0.47, acute MI 1.14, ischaemic heart disease 3.02, peripheral vascular disease 0.42",,,,,"CVD has been separated out in ""others""  Chronic lung disease = COPD  Cerebrovascular disease = stroke/TIA",,,,NA,Self-calculated,Self-calculated,Self-calculated
29,75567,Bazgir 2022,64,256,320,0,0,7,2.7,,NA,,,21,32.8,97,37.9,,NA,,0.45,11,17.2,64,25,,NA,,0.19,14,21.9,76,29.7,,NA,,0.21,8,3.1,2,3.1,,NA,,1,,,,,,NA,,NA,14,5.5,5,7.8,,NA,,0.48,20,7.8,5,7.8,,NA,,1,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
30,78588,Dai 2020,31,186,217,15,48.39,NA,NA,,NA,,,9,29.03,NA,NA,,NA,,,4,12.9,,,,NA,,,4,12.9,,,,NA,,,2,6.45,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,3,9.68,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
32,81620,Johannesen 2021,53,7841,7894,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
