Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Clinical Course of Cancer Patients With COVID-19: A Retrospective Cohort Study,"N., Alpert; J.L., Rapp; B., Marcellino; W., Lieberman-Cribbin; R., Flores; Taioli E.  AO  - Lieberman-Cribbin, Wil; ORCID: https://orcid.org/0000-0002-6851-6009","Background: Complications in cancer patients with coronavirus disease 2019 (COVID-19) have not been examined. This analysis aimed to compare characteristics of COVID-19 patients with and without cancer and assess whether cancer is associated with COVID-19 morbidity or mortality. Method(s): COVID-19-positive patients with an inpatient or emergency encounter at the Mount Sinai Health System between March 1, 2020, and May 27, 2020, were included and compared across cancer status on demographics and clinical characteristics. Multivariable logistic regressions were used to model the associations of cancer with sepsis, venous thromboembolism, acute kidney injury, intensive care unit admission, and all-cause mortality. Result(s): There were 5556 COVID-19-positive patients included, 421 (7.6%) with cancer (325 solid, 96 nonsolid). Those with cancer were statistically significantly older, more likely to be non-Hispanic Black and to be admitted to the hospital during their encounter, and had more comorbidities than noncancer COVID-19 patients. Cancer patients were statistically significantly more likely to develop sepsis (adjusted odds ratio [ORadj] = 1.31, 95% confidence interval [CI] = 1.06 to 1.61) and venous thromboembolism (ORadj = 1.77, 95% CI=1.01 to 3.09); there was no statistically significant difference in acute kidney injury (ORadj = 1.10, 95% CI=0.87 to 1.39), intensive care unit admissions (ORadj = 1.04, 95% CI=0.80 to 1.34), or mortality (ORadj = 1.02, 95% CI=0.81 to 1.29). Conclusion(s): COVID-19 patients with cancer may have a higher risk for adverse outcomes. Although there was no statistically significant difference in mortality, COVID-19 patients with cancer have statistically significantly higher risk of thromboembolism and sepsis. Further research is warranted into the potential effects of cancer treatments on inflammatory and immune responses to COVID-19 and on the efficacy of anticoagulant therapy in these patients.Copyright © The Author(s) 2020. Published by Oxford University Press.",2021,//,JNCI cancer spectrum,5,1,Pkaa085-Pkaa085,,https://dx.doi.org/10.1093/jncics/pkaa085,,#67144,N 2021,"James Morris (2023-10-11 22:11:51)(Select): ""COVID-19–positive patients with blood work performed were selected (n 1⁄4 6144). To exclude asymp- tomatic cancer patients who had COVID-19 tests during encounters unrelated to COVID-19..."" - suggests COVID+ve = positive RAT/PCR. also uses the phrase ""COVID-19 detected"" rather than diagnosed so reasonably confident that clinical/ radiological dx was not used; ",true cancer vs non-cancer
COVID-19-related outcomes in immunocompromised patients: A nationwide study in Korea,"M.S., Baek; M.-T., Lee; W.-Y., Kim; J.C., Choi; , Jung S.-Y.","Background Given the rapid increased in confirmed coronavirus disease 2019 (COVID-19) and related mortality, it is important to identify vulnerable patients. Immunocompromised status is considered a risk factor for developing severe COVID-19. We aimed to determine whether immunocompromised patients with COVID-19 have an increased risk of mortality. Method The groups' baseline characteristics were balanced using a propensity score-based inverse probability of treatment weighting approach. Odds ratios (ORs) and their 95% confidence intervals (CIs) were calculated for the risks of in-hospital mortality and other outcomes according to immunocompromised status using a multivariable logistic regression model. We identified immunocompromised status based on a diagnosis of malignancy or HIV/ AIDS, having undergone organ transplantation within 3 years, prescriptions for corticosteroids or oral immunosuppressants for >=30 days, and at least one prescription for non-oral immunosuppressants during the last year. Results The 6,435 COVID-19 patients (>=18 years) included 871 immunocompromised (13.5%) and 5,564 non-immunocompromised (86.5%). Immunocompromised COVID-19 patients were older (60.1+/-16.4 years vs. 47.1+/-18.7 years, absolute standardized mean difference: 0.738). The immunocompromised group had more comorbidities, a higher Charlson comorbidity index, and a higher in-hospital mortality rate (9.6% vs. 2.3%; p < .001). The immunocompromised group still had a significantly higher in-hospital mortality rate after inverse probability of treatment weighting (6.4% vs. 2.0%, p < .001). Multivariable analysis adjusted for baseline imbalances revealed that immunocompromised status was independently associated with a higher risk of mortality among COVID-19 patients (adjusted odds ratio [aOR]: 2.09, 95% CI: 1.62-2.68, p < .001). Conclusions Immunocompromised status among COVID-19 patients was associated with a significantly increased risk of mortality.Copyright © 2021 Baek et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2021,//,PLoS ONE,16,10 October,e0257641-e0257641,,https://dx.doi.org/10.1371/journal.pone.0257641,,#67236,M 2021,Anita Patel (2023-10-12 19:06:43)(Select): note that rest of paper groups cancer into category immunocompromised with other conditions ; Anita Patel (2023-10-12 19:05:45)(Select): adj OR for malignancy and in-hospital mortality = 1.24. Table on p.7; ,cancer as comorbidity - included due to reasonable adjustments
Endothelial activation and stress index (Easix) as an early predictor for mortality and overall survival in hematological and non-hematological patients with covid-19: Multicenter cohort study,"E., Kalicinska; M., Biernat; J., Rybka; A., Zinczuk; J., Janocha-litwin; M., Rosiek-biegus; M., Morawska; A., Waszczuk-gajda; J., Drozd-sokolowska; L., Szukalski; M., Rymko; P., Jablonowska; K., Simon; , Wrobel T","COVID-19, as a disease involving the endothelium of multiple organs, is characterized by high mortality rates among hospitalized patients. Patients with hematological malignancies are particularly at risk of an unfavorable course of COVID-19. The endothelial activation and stress index (EASIX) score has been used as a simple predictor of overall survival (OS) in specific groups of hematological cancer patients. EASIX, as a biomarker of endothelial dysfunction, might play a prognostic role in patients with COVID-19. Here, we performed a comprehensive retrospective analysis of the EASIX score in 523 hospitalized COVID-19 patients with or without coexisting hematological cancer. Hematological cancer COVID-19 patients had higher EASIX scores compared to the overall population with COVID-19. In hematological patients, EASIX was a strong predictor of the occurrence of sepsis during COVID-19. Our findings demonstrated EASIX as a strong predictor of intensive care unit admission, in-hospital mortality, the occurrence of acute renal failure and the need for hemodialysis, both in hematological and non-hematological COVID-19 patients. Patients with a high EASIX score on COVID-19 diagnosis had significantly inferior OS compared to patients with low EASIX. We showed for the first time that EASIX might serve as a simple, universal prognostic tool of OS in both hematological and non-hematological COVID-19 patients.Copyright © 2021 by the authors.",2021,//,Journal of Clinical Medicine,10,19,4373-4373,,https://dx.doi.org/10.3390/jcm10194373,,#67363,E 2021,"Justine Chan (2023-11-06 04:49:34)(Select): Mortality rates were higher
in the hospitalized hematological cancer patients compared to non-hematological patients
with COVID-19 (40% vs. 23%)

Non cancer in latter cohort - mostly CV, Diabetes mellitus, n (%)
Coronary artery disease, n (%)
Chronic heart failure, n (%)
Supraventricular arrhythmia, n (%)
Chronic kidney disease, n (%)
COPD/asthma, n (%; James Morris (2023-10-13 00:18:32)(Select): ""Haematological cancer vs non-haematological patients"" ambiguous but very likely non cancer in the latter cohort; ",cancer diagnosis time unknown (do not proceed); haematological cancers included; true cancer vs non-cancer
Outcomes of Patients With Active Cancer and COVID-19 in the Intensive-Care Unit: A Multicenter Ambispective Study,"H., Plais; M., Labruyere; T., Creutin; P., Nay; G., Plantefeve; R., Tapponnier; M., Jonas; N.T., Ngapmen; L., Le Guennec; C., De Roquetaillade; L., Argaud; M., Jamme; C., Goulenok; K., Merouani; M., Leclerc; B., Sauneuf; S., Shidasp; A., Stoclin; A., Bardet; O., Mir; N., Ibrahimi; , Llitjos J.-F.","Background: Several studies report an increased susceptibility to SARS-CoV-2 infection in cancer patients. However, data in the intensive care unit (ICU) are scarce. Research Question: We aimed to investigate the association between active cancer and mortality among patients requiring organ support in the ICU. Study Design and Methods: In this ambispective study encompassing 17 hospitals in France, we included all adult active cancer patients with SARS-CoV-2 infection requiring organ support and admitted in ICU. For each cancer patient, we included 3 non cancer patients as controls. Patients were matched at the same ratio using the inverse probability weighting approach based on a propensity score assessing the probability of cancer at admission. Mortality at day 60 after ICU admission was compared between cancer patients and non-cancer patients using primary logistic regression analysis and secondary multivariable analyses. Result(s): Between March 12, 2020 and March 8, 2021, 2608 patients were admitted with SARS-CoV-2 infection in our study, accounting for 2.8% of the total population of patients with SARS-CoV-2 admitted in all French ICUs within the same period. Among them, 105 (n=4%) presented with cancer (51 patients had hematological malignancy and 54 patients had solid tumors). 409 of 420 patients were included in the propensity score matching process, of whom 307 patients in the non-cancer group and 102 patients in the cancer group. 145 patients (35%) died in the ICU at day 60, 59 (56%) with cancer and 86 (27%) without cancer. In the primary logistic regression analysis, the odds ratio for death associated to cancer was 2.3 (95%CI 1.24 - 4.28, p=0.0082) higher for cancer patients than for a non-cancer patient at ICU admission. Exploratory multivariable analyses showed that solid tumor (OR: 2.344 (0.87-6.31), p=0.062) and hematological malignancies (OR: 4.144 (1.24-13.83), p=0.062) were independently associated with mortality. Interpretation(s): Patients with cancer and requiring ICU admission for SARS-CoV-2 infection had an increased mortality, hematological malignancy harboring the higher risk in comparison to solid tumors.Copyright © 2022 Plais, Labruyere, Creutin, Nay, Plantefeve, Tapponnier, Jonas, Ngapmen, Le Guennec, De Roquetaillade, Argaud, Jamme, Goulenok, Merouani, Leclerc, Sauneuf, Shidasp, Stoclin, Bardet, Mir, Ibrahimi and Llitjos.",2022,//,Frontiers in Oncology,12,,858276-858276,,https://dx.doi.org/10.3389/fonc.2022.858276,,#67898,H 2022,"Justine Chan (2023-10-28 03:46:55)(Select): All-cause inpatient fatalities included death as a direct result of
SARS-COV-2 infection and any other cause; ",true cancer vs non-cancer
Characterizing cancer and COVID-19 outcomes using electronic health records,"Y., Kim; L., Zhu; H., Zhu; X., Li; Y., Huang; C., Gu; H., Bush; C., Chung; , Zhang G.-Q.","Purpose Patients with cancer often have compromised immune system which can lead to worse COVID-19 outcomes. The purpose of this study is to assess the association between COVID-19 outcomes and existing cancer-specific characteristics. Patients and methods Patients aged 18 or older with laboratory-confirmed COVID-19 between June 1, 2020, and December 31, 2020, were identified (n = 314 004) from the Optum de-identified COVID-19 Electronic Health Record (EHR) derived from more than 700 hospitals and 7000 clinics in the United States. To allow sufficient observational time, patients with less than one year of medical history in the EHR dataset before their COVID-19 tests were excluded (n = 42 365). Assessed COVID-19 outcomes including all-cause 30-day mortality, hospitalization, ICU admission, and ventilator use, which were compared using relative risks (RRs) according to cancer status and treatments. Results Among 271 639 patients with COVID-19, 18 460 had at least one cancer diagnosis: 8034 with a history of cancer and 10 426 with newly diagnosed cancer within one year of COVID-19 infection. Patients with a cancer diagnosis were older and more likely to be male, white, Medicare beneficiaries, and have higher prevalences of chronic conditions. Cancer patients had higher risks for 30-day mortality (RR 1.07, 95% CI 1.01-1.14, P = 0.028) and hospitalization (RR 1.04, 95% CI 1.01-1.07, P = 0.006) but without significant differences in ICU admission and ventilator use compared to non-cancer patients. Recent cancer diagnoses were associated with higher risks for worse COVID-19 outcomes (RR for mortality 1.17, 95% CI 1.08-1.25, P<0.001 and RR for hospitalization 1.10, 95% CI 1.06-1.14, P<0.001), particularly among recent metastatic (stage IV), hematological, liver and lung cancers compared with the non-cancer group. Among COVID-19 patients with recent cancer diagnosis, mortality was associated with chemotherapy or radiation treatments within 3 months before COVID-19. Age, black patients, Medicare recipients, South geographic region, cardiovascular, diabetes, liver, and renal diseases were also associated with increased mortality. Conclusions and relevance Individuals with cancer had higher risks for 30-day mortality and hospitalization after SARSCoV-2 infection compared to patients without cancer. More specifically, patients with a cancer diagnosis within 1 year and those receiving active treatment were more vulnerable to worse COVID-19 outcomes.Copyright © 2022 Kim et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2022,//,PLoS ONE,17,5 May,e0267584-e0267584,,https://dx.doi.org/10.1371/journal.pone.0267584,,#68083,Y 2022,"Mark Cheng (2023-04-09 07:01:52)(Select): powerful study - ""18 460 had at least one cancer diagnosis: 8034
with a history of cancer and 10 426 with newly diagnosed cancer within one year of COVID19 infection""; ",true cancer vs non-cancer
Changing characteristics of cancer patients during the COVID-19 pandemic,"R., Korkusuz; G.S., Erdal; I.K., Akilli; M., Bilge; D., Tural; , Yasar K K","Introduction: Cancer patients are more sensitive to infections, and, compared to other patients, may have more serious outcomes. Thus, cancer patients are a high-risk group in the COVID-19 pandemic. The aim of this study was to evaluate how cancer patients are affected by COVID-19 infection; the prevalence, and factors affecting mortality. Methodology: This single-centre, retrospective study included cancer patients under follow-up treatment at our hospital with a laboratory-confirmed diagnosis of COVID-19. Demographic and clinical data were obtained from electronic medical records. The effects of tumour subtype and patient demographic data on COVID-19 prevalence and mortality were analyzed using univariate and multivariate models. Result(s): Evaluation was made of 217 cancer patients, comprising 140 (64.5%) males and 77 (35.5%) females with a mean age of 62.05 +/- 12.95 years. Mortality was seen in 84 (38.7%) patients. Disease grade, chemotherapy within the last 3 months and CT findings were determined to be related to mortality. In logistic regression analysis, the most important factors affecting survival were determined to be severe lung involvement (p < 0.001) and hematological malignancy. Conclusion(s): It is clear that cancer patients are at greater risk from COVID-19 infection than individuals without a malignant disease. The results showed that cancer patients with different tumour types had different levels of sensitivity to COVID-19. It is clear that with ongoing viral mutations, the duration of the pandemic is unknown. Therefore, the continuation of cancer screening and cancer treatments should not be interrupted.Copyright © 2022 Korkusuz et al. This is an open-access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",2022,//,Journal of Infection in Developing Countries,16,3,453-461,,https://dx.doi.org/10.3855/jidc.15155,,#68304,R 2022,James Morris (2023-11-12 00:49:15)(Included): tagging stage: using table 4 it is true cancer vs non cancer; Abe Tolley (2023-11-02 09:02:47)(Select): I think they specify that their cancer vs non cancer is 2nd wave only so its fine to include; James Morris (2023-10-10 20:14:15)(Select): mortality rates given in the prose; Mark Cheng (2023-04-09 09:44:57)(Select): would have to email to clarify which malignant patients are in first vs second wave; ,true cancer vs non-cancer; univariate only
Independent predictors of in-hospital mortality and the need for intensive care in hospitalized non-critical COVID-19 patients: a prospective cohort study,"N.C., Basaran; M., Ozdede; O.A., Uyaroglu; T.K., Sahin; B., Ozcan; H., Oral; L., Ozisik; G.S., Guven; Tanriover M.D.  AO  - Ozdede, Murat; ORCID: https://orcid.org/0000-0002-6981-1210","One of the most helpful strategies to deal with ongoing coronavirus pandemics is to use some prudence when treating patients infected with SARS-CoV-2. We aimed to evaluate the clinical, demographic, and laboratory parameters that might have predictive value for in-hospital mortality and the need for intensive care and build a model based on them. This study was a prospective, observational, single-center study including non-critical patients admitted to COVID-19 wards. Besides classical clinic-demographic features, basic laboratory parameters obtained on admission were tested, and then new models for each outcome were developed built on the most significant variables. Receiver operating characteristics (ROC) analyses were performed by calculating each model's probability. A total of 368 non-critical hospitalized patients were recruited, the need for ICU care was observed in 70 patients (19%). The total number of patients who died in either ICU or wards was 39 (10.6%). The first two models (based on clinical features and demographics) were developed to predict ICU and death, respectively; older age, male sex, active cancer, and low baseline saturation were noted to be independent predictors. The area under the curve values of the first two models were noted 0.878 and 0.882 (p<.001; confidence interval [CI] 95% [0.837-0.919], p<.001; CI 95% [0.844-0.922]). Following two models, the third and fourth were based on laboratory parameters with clinic-demographic features. Initial lower sodium and lower albumin levels were determined as independent factors in predicting the need for ICU care; higher blood urea nitrogen and lower albumin were independent factors in predicting in-hospital mortality. The area under the curve values of the third and fourth model was noted 0.938 and 0.929, respectively (p<.001; CI 95% [0.912-0.965], p<.001; CI 95% [0.895-962]). By integrating the widely available blood tests results with simple clinic demographic data, non-critical patients can be stratified according to their risk level. Such stratification is essential to filter the patients' non-critical underlying diseases and conditions that can obfuscate the physician's predictive capacity.Copyright © 2022. The Author(s), under exclusive licence to Societa Italiana di Medicina Interna (SIMI).",2022,//,Internal and emergency medicine,,,,,https://dx.doi.org/10.1007/s11739-022-02962-6,,#68341,N 2022,Anushka Irodi (2023-11-04 05:18:48)(Select): Cancer as a comorbidity group (n=26 out of n=368) with multivariate logistic regression model (Table 4).; James Morris (2023-10-10 07:09:27)(Select): distinguishes between active and hx of cancer but doesnt explicitly state where the cutoff between these lies.; ,cancer as comorbidity - included due to reasonable adjustments
High mortality in patients with active malignancy and severe COVID-19: Results from an Austrian multicenter registry during the first period of the COVID-19 pandemic,"S., Udovica; N., Muser; A., Pechlaner; A., Reichinger; C., Aichinger; K., Strasser-Weippl; H., Rumpold; A., Petzer; E., Woll; W., Hilbe; Muldur E.  AO  - Udovica, Simon; ORCID: https://orcid.org/0000-0001-6490-4568","Background: Various registries of patients with cancer and coronavirus disease 2019 (COVID-19) emerged over the last few months and patients with cancer are reported to be at increased risk for severe outcome of COVID-19. Yet, many studies lack a direct control group and include patients with different baseline parameters. Here we report data for patients with active malignancy who were hospitalized for severe COVID-19 and a control group hospitalized with severe COVID-19, but not diagnosed with ongoing malignant disease. Moreover, we incorporate the prognostic 4C Mortality Score which estimates in-hospital mortality for COVID-19 patients. Method(s): In all, 245 patients hospitalized with severe COVID-19 between March 2020 and March 2021 were included in the analysis. Among those, 89 patients were diagnosed with active malignancy. Primary endpoint was COVID-19-associated mortality. Result(s): COVID-19-associated mortality was significantly higher in cancer patients than in the control group (46.1 vs. 27.6%, odds ratio [OR] 2.56, p< 0.001). In multivariable analysis, diagnosis of active malignancy (OR 4.59) and poor ECOG status >=3 (OR 6.56) were the strongest predictors of COVID-19-related death. The prognostic 4C Mortality Score correctly predicted mortality in the control group (occurred: 27.6%, vs. estimated: 27.3%, p> 0.999), but significantly underestimated COVID-19-related mortality in cancer patients (occurred: 46.1% vs. estimated: 32.2%, p= 0.003). Conclusion(s): Active malignancy was associated with high mortality in patients with severe COVID-19 during the first period of the COVID-19 pandemic. The mortality rate was underestimated by the 4C Mortality Score.Copyright © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature.",2022,//,Memo - Magazine of European Medical Oncology,15,2,153-160,,https://dx.doi.org/10.1007/s12254-022-00814-9,,#68513,S 2022,"Anita Patel (2023-11-03 21:54:04)(Select): cancer patients treated in an ICU more often required mechanical ventilation (75.0 vs. 43.5%, p= 0.01) and their mortality was significantly higher than that of patients without cancer (68.8 vs 13.0%, p< 0.001; Fig. 3)

Table 4 Univariate and multivariable analysis for odds of death based on cancer status; ",true cancer vs non-cancer
"Comorbidities associated with mortality in 31,461 adults with COVID-19 in the United States: A federated electronic medical record analysis","S.L., Harrison; E., Fazio-Eynullayeva; D.A., Lane; P., Underhill; , Lip G Y H","Background: At the beginning of June 2020, there were nearly 7 million reported cases of coronavirus disease 2019 (COVID-19) worldwide and over 400,000 deaths in people with COVID-19. The objective of this study was to determine associations between comorbidities listed in the Charlson comorbidity index and mortality among patients in the United States with COVID-19. Methods and findings: A retrospective cohort study of adults with COVID-19 from 24 healthcare organizations in the US was conducted. The study included adults aged 18-90 years with COVID-19 coded in their electronic medical records between January 20, 2020, and May 26, 2020. Results were also stratified by age groups (<50 years, 50-69 years, or 70-90 years). A total of 31,461 patients were included. Median age was 50 years (interquartile range [IQR], 35-63) and 54.5% (n = 17,155) were female. The most common comorbidities listed in the Charlson comorbidity index were chronic pulmonary disease (17.5%, n = 5,513) and diabetes mellitus (15.0%, n = 4,710). Multivariate logistic regression analyses showed older age (odds ratio [OR] per year 1.06; 95% confidence interval [CI] 1.06-1.07; p < 0.001), male sex (OR 1.75; 95% CI 1.55-1.98; p < 0.001), being black or African American compared to white (OR 1.50; 95% CI 1.31-1.71; p < 0.001), myocardial infarction (OR 1.97; 95% CI 1.64-2.35; p < 0.001), congestive heart failure (OR 1.42; 95% CI 1.21-1.67; p < 0.001), dementia (OR 1.29; 95% CI 1.07-1.56; p = 0.008), chronic pulmonary disease (OR 1.24; 95% CI 1.08-1.43; p = 0.003), mild liver disease (OR 1.26; 95% CI 1.00-1.59; p = 0.046), moderate/ severe liver disease (OR 2.62; 95% CI 1.53-4.47; p < 0.001), renal disease (OR 2.13; 95% CI 1.84-2.46; p < 0.001), and metastatic solid tumor (OR 1.70; 95% CI 1.19-2.43; p = 0.004) were associated with higher odds of mortality with COVID-19. Older age, male sex, and being black or African American (compared to being white) remained significantly associated with higher odds of death in age-stratified analyses. There were differences in which comorbidities were significantly associated with mortality between age groups. Limitations include that the data were collected from the healthcare organization electronic medical record databases and some comorbidities may be underreported and ethnicity was unknown for 24% of participants. Deaths during an inpatient or outpatient visit at the participating healthcare organizations were recorded; however, deaths occurring outside of the hospital setting are not well captured. Conclusion(s): Identifying patient characteristics and conditions associated with mortality with COVID-19 is important for hypothesis generating for clinical trials and to develop targeted intervention strategies.Copyright: © 2020 Harrison et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2020,//,PLoS Medicine,17,9,e1003321-e1003321,,https://dx.doi.org/10.1371/JOURNAL.PMED.1003321,,#69642,S 2020,"James Morris (2023-10-29 02:32:56)(Select): U072 included but explicitly stated that no pts were marked with this code - ""any malignancy"" according to the CCI - potentially could include > 12months but SHOULD only be recorded if active when following CCI faithfully; Abigail Burn (2023-10-27 21:07:05)(Select): mortality not specific to COVID-19? No specific definition but states as ""death WITH covid-19"" rather than ""from covid-19""; Mark Cheng (2023-09-29 09:20:21)(Select): table 2: Any malignancy and Metastatic solid tumor; ",cancer as comorbidity - included due to reasonable adjustments
The clinical outcomes of COVID-19 infection in patients with a history of thyroid cancer: A nationwide study,"Sahin, M; Haymana, C; Demirci, I; Tasci, I; Rifat, E; Unluturk, U; Satman, I; Demir, T; Cakal, E; Ata, N; Ertugrul, D; Salman, S; Sahin, I; Dagdelen, S; Celik, O; Caglayan, M; Atmaca, A; Sonmez, A; M., Sahin; C., Haymana; I., Demirci; I., Tasci; E., Rifat; U., Unluturk; I., Satman Sahin; T., Demir; E., Cakal; N., Ata; D., Ertugrul; S., Salman; S., Dagdelen; O., Celik; M., Caglayan; A., Atmaca; Sonmez A.  AO  - Unluturk  Ilhan; ORCID: https://orcid.org/0000-0001-8613-1797 AO  - Ertugrul, Derun; ORCID: https://orcid.org/0000-0002-9199-9168, Ugur; ORCID: https://orcid.org/0000-0002-5054-1396 A O - Satman","Background: There are scarce published data in differentiated thyroid cancer patients about new coronavirus disease 2019 (COVID-19) disease outcomes and mortality. Here, we evaluated COVID-19 infection outcomes and mortality in thyroid cancer patients with COVID-19 infection. Design and methods: We included a cohort of patients with thyroid cancer with PCR-confirmed COVID-19 disease from 11 March to 30 May 2020 from the Turkish Ministry of Health database in our nationwide, retrospective study. We compared the mortality and morbidity of COVID patients with or without thyroid cancer. Univariate and multivariate analyses were used to assess the independent factors for mortality, length of hospital stay and intensive care unit (ICU) admission and mechanical ventilation. We also analysed the effect of radioiodine treatment on severity and death rate of COVID-19 disease. Result(s): We evaluated 388 COVID-19 patients with thyroid cancer [median age: 54 years, interquartile range (IQR) 18 years, males: 23%] and age and gender-matched 388 COVID-19 patients without thyroid cancer. Patients with thyroid cancer had a similar mortality ratio compared with the non-cancer group. Among patients with thyroid cancer, age, presence of diabetes mellitus, asthma/COPD, heart failure, chronic kidney disease, prior coronary artery disease, RAS blocker usage and low lymphocyte count were associated with mortality. Radioactive iodine (RAI) treatment and cumulative radioactive iodine dosage did not negatively affect the severity and mortality of COVID-19 disease in our patient group. Conclusion(s): Our study indicated that history of thyroid cancer did not have an increased risk of mortality or morbidity in COVID-19 disease. Besides, RAI therapy history and doses of radioactive iodine did not affect mortality or outcome.Copyright © 2021 John Wiley & Sons Ltd.",2021,//,Clinical Endocrinology,95,4,628-637,,https://dx.doi.org/10.1111/cen.14486,,#69975,Sahin 2021,"",cancer diagnosis time unknown (do not proceed); true cancer vs non-cancer
Higher severity and risk of in-hospital mortality for COVID-19 patients with cancer during the year 2020 in Brazil: A countrywide analysis of secondary data,"Costa, Guilherme Jorge; de Azevedo, Carla Rameri Alexandre Silva; Junior, Jose Iran Costa; Bergmann, Anke; Thuler, Luiz Claudio Santos; G.J., Costa; C.R.A.S., de Azevedo; J.I.C., Junior; A., Bergmann; Thuler L.C.S.  AO  - Costa  Carla Rameri Alexandre Silva; ORCID: https://orcid.org/0000-0002-0531-7002 AO  - Junior, Jose Iran Costa; ORCID: https://orcid.org/0000-0001-5381-2692 AO  - Bergmann, Anke; ORCID: https://orcid.org/0000-0002-1972-8777 AO  - Thuler, Luiz Claudio Santos; ORCID: https://orcid.org/0000-0003-2550-6537, Guilherme Jorge; ORCID: https://orcid.org/0000-0002-3699-0590 A O - de Azevedo","Background: Coronavirus disease 2019 (COVID-19) and cancer are serious public health problems worldwide. However, little is known about the risk factors of in-hospital mortality among COVID-19 patients with and without cancer in Brazil. The objective of this study was to evaluate the risk factors of in-hospital mortality among COVID-19 patients with and without cancer and to compare mortality according to gender and topography during the year 2020 in Brazil. Method(s): This was a secondary data study of hospitalized adult patients with a diagnosis of COVID-19 by real-time polymerase chain reaction testing in Brazil. The data were collected from the Influenza Epidemiological Surveillance Information System. Result(s): This study analyzed data from 322,817 patients. The prevalence of cancer in patients with COVID-19 was 2.3%. COVID-19 patients with neurological diseases and cancer had the most lethal comorbidities in both sexes. COVID-19 patients with cancer were more likely to be older (median age, 67 vs 62 years; P <.001), to have a longer hospital stay (13.1 vs 11.5 days; P <.001), to be admitted to the intensive care unit (45.3% vs 39.6%; P <.001), to receive more invasive mechanical ventilation (27.1% vs 21.9%), and to have a higher risk of death (adjusted odds ratio [aOR], 1.94; 95% confidence interval [CI], 1.83-2.06; P <.001) than those without cancer. Patients with hematological neoplasia (aOR, 2.85; 95% CI, 2.41-3.38; P <.001) had a higher risk of mortality than those with solid tumors (aOR, 1.83; 95% CI, 1.72-1.95; P <.001) in both sexes. Conclusion(s): Brazilian COVID-19 patients with cancer have higher disease severity and a higher risk of mortality than those without cancer.Copyright © 2021 American Cancer Society",2021,//,Cancer,127,22,4240-4248,,https://dx.doi.org/10.1002/cncr.33832,,#69989,Costa 2021,"Anita Patel (2023-11-01 23:11:53)(Select): table 2 p.4 outcomes by cancer and non-cancer pt 
table 3 p.7 multivariate analysis of mortality by cancer; ",cancer diagnosis time unknown (do not proceed); true cancer vs non-cancer
