Covidence #,Study ID,Title,Reviewer Name,CASE CONTROL: Selection: 1) Is the case definition adequate?,CASE CONTROL: Selection: 1) Is the case definition adequate? supporting text,CASE CONTROL: Selection: 2) Representativeness of the cases,CASE CONTROL: Selection: 2) Representativeness of the cases supporting text,CASE CONTROL: Selection: 3) Selection of Controls,CASE CONTROL: Selection: 3) Selection of Controls supporting text,CASE CONTROL: Selection: 4) Definition of Controls,CASE CONTROL: Selection: 4) Definition of Controls supporting text,CASE CONTROL: Comparability: 1) Comparability of cases and controls on the basis of the design or analysis,CASE CONTROL: Comparability: 1) Comparability of cases and controls on the basis of the design or analysis supporting text,COHORT: Selection: 1) Representativeness of the cancer cohort,COHORT: Selection: 1) Representativeness of the cancer cohort supporting text,COHORT: Selection: 2) Selection of the non exposed cohort,COHORT: Selection: 2) Selection of the non exposed cohort supporting text,COHORT: Selection: 3) Ascertainment of exposure,COHORT: Selection: 3) Ascertainment of exposure supporting text,COHORT: Selection: 4) Demonstration that outcome of interest [COVID-19 diagnosis/hospitalisation/severe disease] was not present at start of study,COHORT: Selection: 4) Demonstration that outcome of interest [COVID-19 diagnosis/hospitalisation/severe disease] was not present at start of study supporting text,COHORT: Comparability: 1) Comparability of cohorts on the basis of the design or analysis,COHORT: Comparability: 1) Comparability of cohorts on the basis of the design or analysis supporting text,COHORT: Outcome: 1) Assessment of outcome,COHORT: Outcome: 1) Assessment of outcome supporting text,COHORT: Outcome: 2) Was follow-up long enough for outcomes to occur,COHORT: Outcome: 2) Was follow-up long enough for outcomes to occur supporting text,COHORT: Outcome: 3) Adequacy of follow up of cohorts,COHORT: Outcome: 3) Adequacy of follow up of cohorts supporting text
131410,Miyashita 2020,Do patients with cancer have a poorer prognosis of COVID-19? An experience in New York City,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",a) study controls for age Ø,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",a) complete follow up - all subjects accounted for Ø,""
128789,Joaquin 2020,Multiple Myeloma and SARS-CoV-2 Infection: Clinical Characteristics and Prognostic Factors of Inpatient Mortality (preprint),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",b) drawn from a different source,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
128722,Jiahao 2020,Malignancy History Affected the Prognosis of COVID-19 Patients via Release of Interleukin-6 (preprint),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",d) no description of the derivation of the cohort,Two hospitals - we enrolled all laboratory confirmed COVID-19 patient admitted to our hospitals. authors affiliated with two hospitals but otherwise the exact hospital locations/ details were not stated. ,a) drawn from the same community as the exposed cohort Ø,"we enrolled all laboratory confirmed COVID-19 patient admitted to our hospitals who measured IL-6 levels on admission from January 1 to March 25, 2020",a) secure record (eg surgical records) Ø,"Demographic, laboratory findings and outcome data were extracted from electronic medical records through a standardized data collection form.",b) no,"",c) Study does not control for any factors,"Cohorts are not matched at baseline, although age and sex are corrected for in multivariate analysis the sample size is very small <10",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"Demographic, laboratory findings and outcome data were extracted from electronic medical records through a standardized data collection form. All data were collected and checked by 3 experienced clinicians independently. The clinical outcomes were evaluated by
two experienced clinicians",a) yes (the study encompass sickness period of all patients) Ø,Authors reported time in-hospital for all patients ,d) no statement,No statement on status of patients at study endpoint
124497,Brijesh 2023,Outcomes of Patients with Active Cancers and Pre-Existing Cardiovascular Diseases Infected with SARS-CoV-2 (preprint),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",b) no,"",d) no statement,""
122739,Adrian 2021,Outcomes and Risk Factors of Patients With COVID-19 and Cancer (ONCORONA): A Sub-Study of the Philippine CORONA Study (preprint),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"This substudy was based on the data gathered from 37 major
hospitals/study sites from various regions in the Philippines. The
specific sites are listed in the published study protocol.",a) drawn from the same community as the exposed cohort Ø,same hospitals,a) secure record (eg surgical records) Ø,EPIC,b) no,inclusion at positive covid test,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"significant differences between cohorts but mHR provided which controlled for  age group, sex, smoking history, hypertension, diabetes,
chronic cardiac disease, chronic kidney disease, chronic respiratory disease, and chronic neurologic disease (in the values for in-hospital mortality and icu admission)",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),codes,a) yes (the study encompass sickness period of all patients) Ø,"pts excluded if they were neither transferred, deceased or discharged by end of follow up period",a) complete follow up - all subjects accounted for Ø,"pts excluded if they were neither transferred, deceased or discharged by end of follow up period"
81620,Johannesen 2021,"COVID-19 in Cancer Patients, Risk Factors for Disease and Adverse Outcome, a Population-Based Study From Norway.",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,Population based retrospective cohort studies linking 6 registeries in Norway,a) drawn from the same community as the exposed cohort Ø,"Data on all confirmed COVID-19 positive patients
were extracted from the Norwegian Surveillance System for
Communicable diseases (MSIS), which is a registry based on
mandatory electronic reporting from microbiological labs",a) secure record (eg surgical records) Ø,"Data on cancer occurrence was extracted from the Cancer
Registry of Norway (CRN). We obtained data on all patients
diagnosed with cancer from January 1, 1952 to December 31,
2018. Because the 2019 data were not available when the dataset
was obtained, we also used data from the Norwegian Patient
Registry (NPR) on patients diagnosed in the time period January
1, 2019-May 31, 2020. Patients diagnosed with cancer on the
same date or later than the confirmed diagnosis of COVID-19
(23 patients) were excluded from the analysis.",a) yes Ø,"Patients diagnosed with cancer on the
same date or later than the confirmed diagnosis of COVID-19
(23 patients) were excluded from the analysis. i.e. Covid could not be present at the start ",c) Study does not control for any factors,Only data for patients with cancer diagnosed <1 year ago included and in this cohort no factors were controlled for,b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"From the Norwegian Cause of Death Registry all deaths up to
May 31, 2020 were included. The registry follows the WHO
guidelines for certifying COVID-19 as a cause of death and the
ICD-10 code U07.1 was used for defining COVID-19 as the
underlying cause of death. The definition of the causal sequence
leading to death due to COVID-19 was followed and 19 patients
with COVID-19 as contributing but not underlying cause of
death were excluded. Additional variables available were place of
death (at home, nursery home/hospice or hospital).
From the Norwegian Intensive Care and Pandemic Registry
we retrieved data on patients admitted to hospital or intensive
care. Only patients with COVID-19 stated as cause of admission
were included. Available variables were whether the patient
needed intensive care and mechanical ventilation as well as
number of days treated",a) yes (the study encompass sickness period of all patients) Ø,Jan 1 2020 - May 31 2020,d) no statement,No statement
81415,Mohamed 2021,COVID-19 in patients with and without cancer: Examining differences in patient characteristics and outcomes.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",c) follow up rate < 90% and no description of those lost,""
80197,Challa 2022,Predictors of Mortality in Hospitalized African American Covid-19 Cancer Patients.,Consensus,b) record linkage Ø  (e.g. identified through ICD codes on database records),"We analyzed de-identified COVID-19 positive
hospitalized patients’ data from Dec. 2019 to Oct. 2021 at Howard University Hospital to determine
predictors of mortality in cancer patients (cases) compared to non-cancer patients (controls) ",b) potential for selection biases (excludes certain demographics/ comorbidities e.g. only includes HCC patients or excludes patients who died before admission when reporting mortality) or not stated,"African American race was predominant in both cases and controls, 83.6% and 66.7% respectively ",c) no description,"",a) no history of disease (endpoint) Ø,The control group (non-cancer patients) were covid-19 patients without active/history of cancer,c) Study does not control for any factors,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,""
79599,Noh 2023,Interstitial lung abnormalities after hospitalization for COVID-19 in patients with cancer: A prospective cohort study.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
78588,Dai 2020,"Patients With Lung Cancer Have High Susceptibility of COVID-19: A Retrospective Study in Wuhan, China",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"""An age and sex-matched cohort of 186 patients at a 6:1 ratio of non-cancer to cancer COVID-19 patients from the same time period and from the same hospital system was also obtained after propensity matching""",a) secure record (eg surgical records) Ø,"""Patient medical records were obtained""",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Age, sex, time-period and location","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,2 cancer pts still in hospital at end of data collection (sup table 1),"b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",as above
75567,Bazgir 2022,Comparing the COVID-19 Mortality Rate in Cancer Patients with and Without a History of Chemotherapy,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
75065,Zhou 2023,"Clinical characteristics, risk factors and outcomes of cancer patients with COVID-19: A population-based study",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"population based study on patients who presented to Hong Kong public hospitals and outpatient clinics using CDARS, a territory-wide database that centralizes patient information from 43 local hospitals and their associated ambulatory and outpatient facilities",a) drawn from the same community as the exposed cohort Ø,"The following study consisted of 6089 COVID-19 patients (median age: 45.9 [27.8.1–62.7] years; 50% male), of which 142 were cancer subjects. This population-based retrospective cohort analysis is part of a larger study of antihypertensive drugs and infection outcomes that has been approved by the Institutional Review Board of the University of Hong Kong/Hospital Authority Hong Kong West Cluster. COVID-19 patients who presented to Hong Kong public hospitals and outpatient clinics between 1 January 2020 and 8 December 2020 were identified using the territory-wide Clinical Data Analysis and Reporting System (CDARS), which provides a central medium through which clinical data can be obtained for analysis",a) secure record (eg surgical records) Ø,"identified using the territory-wide Clinical Data Analysis and Reporting System (CDARS), which provides a central medium through which clinical data can be obtained for analysis. CDARS is a territory-wide database that centralizes patient information from 43 local hospitals and their associated ambulatory and outpatient facilities to establish comprehensive medical data including clinical characteristics, disease diagnosis, laboratory results and drug treatment details. CDARS was used to recruit patients who presented with positive real-time polymerase chain reaction (RT-PCR) for 
COVID-19 conducted in Accident and Emergency as well as out- and in-patient settings. This was followed by the retrieval of patient demographics, along with comprehensive medical records, namely details pertaining to disease diagnoses, prior comorbidities, medication treatments and several laboratory parameters, including complete blood counts, renal function tests, liver function tests, clotting profile, arterial blood gas, blood glucose and HbA1c, as well as various inflammatory markers.",b) no,"no mention of negative covid-19 test at start of study period. 

The inclusion criteria for this study were as follows: patients who had a positive RT-PCR for COVID-19, had pre-existing active malignancy diagnosed by clinical, radiological and pathological investigations and were admitted to the public hospital within the stated time period.

In this context, CDARS was used to recruit patients who presented with positive real-time polymerase chain reaction (RT-PCR) for 
COVID-19 conducted in Accident and Emergency as well as out- and in-patient settings. ",c) Study does not control for any factors,no mention or evidence of matching ,"a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","The inclusion criteria for this study were as follows: patients who had a positive RT-PCR for COVID-19, had pre-existing active malignancy diagnosed by clinical, radiological and pathological investigations and were admitted to the public hospital within the stated time period",a) yes (the study encompass sickness period of all patients) Ø,"This was a population-based retrospective cohort study of COVID-19 patients who presented to Hong Kong public hospitals between 1 January 2020 and 8 December 2020. The primary outcome was a composite endpoint of requirement for intubation, ICU admission and 30-day mortality. Follow-up period was 12 months. ","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø","A total of 121 patients (2%) passed away during the follow-up period of 12 months, among which a significantly greater proportion were cancer subjects (p<0.05), although there was no difference in the requirement for intubation between the two groups"
74954,Kodde 2023,Mortality in cancer patients with SARS-CoV-2 or seasonal influenza: an observational cohort study from a German-wide hospital network,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"",d) no statement,""
73818,Ghadamgahi 2023,Mortality Rate and Effects of COVID-19 in Cancer Patients versus Non-cancer Patients: A Propensity Score Matching Study,Consensus,"a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) potential for selection biases (excludes certain demographics/ comorbidities e.g. only includes HCC patients or excludes patients who died before admission when reporting mortality) or not stated,"",b) hospital controls,"",a) no history of disease (endpoint) Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,""
73804,Starkey 2023,A population-scale temporal case-control evaluation of COVID-19 disease phenotype and related outcome rates in patients with cancer in England (UKCCP),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
73512,Johansson 2023,"Were cancer patients worse off than the general population during the COVID-19 pandemic? A population-based study from Norway, Denmark and Iceland during the pre-vaccination era",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",a) truly representative of the average cancer patient in the community (Multicentre and multinational) Ø,"",b) drawn from a different source,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",b) no,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
73383,Hosseini-Moghaddam 2023,"SARS-CoV-2 Infection, Hospitalization, and Mortality in Adults With and Without Cancer",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"The study population included all adults aged at least 18 years living in Ontario, Canada, from January 1, 2020, to November 30, 2021",a) drawn from the same community as the exposed cohort Ø,Data drawn from same database registries.,a) secure record (eg surgical records) Ø,"""Data Sources"" outlines various databases used.",b) no,Outcome of interest cannot be shown to not be present at start of study as it is retrospective.,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"""Considering the fundamental role of age, sex, and vaccination status in SARS-CoV-2 infection and COVID-19 outcomes, we initially calculated partially adjusted HRs (aHRs) adjusting for age, sex, and COVID-19 vaccination status in all analyses; subsequently, a fully adjusted model calculated aHRs accounting for age, sex, comorbidities, past health care utilization, income, rurality, PHU region, Ontario Marginalization Index, and 2016 Canada census variables.""","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)",The primary outcome was a positive SARS-CoV-2 RT-PCR test result. All individuals had free and universal access to SARS-CoV-2 real-time polymerase chain reaction (RT-PCR) testing and hospital and physician care,a) yes (the study encompass sickness period of all patients) Ø,"Study period was close to two years in length; ""The study population included all adults aged at least 18 years living in Ontario, Canada, from January 1, 2020, to November 30, 2021. The maximum follow-up date was December 31, 2021.""",d) no statement,Difficult to ascertain due to different numbers of patients used for different analyses.
