"Covidence #","Study ID","Peer-reviewed or Preprint","Journal","Database/Study ID","Date of Publication (Month and Year)","Retrospective/Prospective","Study Design","Study Country/Countries","Study Start Date","Study End Date","Total study size (number of patients)","Primary Outcomes of Study","Secondary outcomes of study","Cancer Total number","Control (non-cancer) Total number","Explicitly included vaccinated patients","outcomes described","Definition of Cancer patient","Definition of severity","Definition of severe disease","Definition of ICU admission/Critical","Definition of mortality","Univariate or multivariate analysis?","Multivariate analysis is adjusted by","Comparison group","Comparator group matching strategy","Which COVID-19 variant does the study identify?","Cancer Age (measure of centre) e.g. mean/median","Cancer Age (centre)","Cancer Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Cancer Age (spread)","Control (non-cancer) Age (measure of centre) e.g. mean/median","Control (non-cancer) Age (centre)","Control (non-cancer) Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Control (non-cancer) Age (spread)","Cancer Sex (% male)","Control (non-cancer) Sex (% male)"
141132,"Sullivan 2023","Peer-reviewed","Breast Cancer Research and Treatment","Optum de-identified C-19 Electronic Health Record dataset (2007-2022)","2024-04","Retrospective","Cohort","United States","2020-01-01","2021-12-20","26400","Mortality","Mechanical ventilation, ICU stay, hospitalization within 30 days ","2200","22000","yes","Severity; Hospitalisation; ICU admission; Mortality","For  patients with BC, we used the International Classification of  Diseases 9th and 10th Revision (ICD-9 and ICD-10) diagnosis codes to identify those who had 2 or more BC diagnosis codes that were at least 30 days apart within 1 year before C-19 diagnosis date (n=5571)","","Mechanical ventilation using HCPCS codes or ICD-10 procedure codes","ICU stay was defined as hospitalization in an ICU without mechanical ventilation","30-day mortality. Death data were obtained from the Social Security Administration Death Master File, including month and year of death; therefore, date of death was set as the 15th of the month.","multivariate","Age; Comorbidities; Other: race and ethnicity, Severe obesity, Charles-Deyo Comorbidity Index score, recent skilled scaled nursing facility stay, insurance type and region","Same cohort","We matched (1:1:10) patients with BC and controls with- out cancer based on age, comorbidity score, and date of C-19 diagnosis: Group 1 included patients with BC and recent cancer treatment (referred to as BC recently treated); Group 2 included patients with BC and no recent treatment (BC not recently treated); Group 3 included patients without cancer (non-cancer controls)","Not mentioned","Median","65","IQR","55-74","Median","65","IQR","55-74","0","0"
71512,"Nolan 2023","Peer-reviewed","CANCER EPIDEMIOLOGY, BIOMARKERS & PREVENTION","COVID EHR Cohort","2023-01","Retrospective","Cohort","USA","2020-02-01","2021-09-30","104590","in-hospital mortality and ICU admission","","7141","90700","yes","ICU admission; Mortality","All Types Cancer; Any ICD-10 cancer diagnosis recorded during the index COVID-19 hospitalisation; Active treatment not stated.","","","icu admission","In-hospital mortality (no further definition stated)","multivariate","Age; Sex; Comorbidities; Other: BMI","same databases","No matching","Not mentioned","","","","","","","","","55.0","49.2"
74954,"Kodde 2023","Peer-reviewed","Infection","QlikView","2022-06-03","Retrospective","Cohort","Germany","2020-01","2021-08","36726","Mortality, mechanical ventilation","","1625","27659","no","Severity; Mortality","The cancer cohort was defined by the presence of any of the three related Elixhauser comorbidities (lymphoma, meta- static cancer, solid tumor).","Mechanical ventilation","","Not specified","In-hospital mortality; cause undefined","univariate; multivariate","Age; Sex; Comorbidities; Other: comorbidities: Elixhauser index","Same hospital group","No matching","Not mentioned","Mean","72.2","SD","11.8","Mean","68.0","SD","17.6","58.2","52.1"
68513,"Udovica 2022","Peer-reviewed","Magazine of European medical oncology ","","2022-05","Retrospective","Cohort","Austria ","2020/03/01","2021/03/31","245","covid-19 specific in hospital mortality ","","89","156","no","Mortality","Pa- tients with active malignancy were defined through one of the following criteria: (1) diagnosis of any histologically proven malignant disease within the last 6 months (excluding basalioma), (2) receiving treatment for a malignant condition within the last 6 months, (3) metastatic or recurrent malignant disease.","","","","Covid-19 specific in-hospital mortality defined as death during a COVID-19 infection requiring at least supplemental oxygen ≥6 l/min; or with signs of pulmonary manifestations of COVID-19 on chest X-ray; or death in an ICU due to respiratory or multiorgan failure. ","univariate; multivariate; Other: Crude","Age; Comorbidities; Other: ECOG performance status","Same country but different hospital   This was a 12-month retrospective analysis of 245 consecutive patients admitted for severe COVID-19 at four different COVID-19 units in four different oncologic departments in Austria. The noncancer control group consisted of patients admitted at the Department of Medicine I at the Clinic Ottakring in Vienna for severe COVID-19 but had no history of cancer within the last 5 years","Matched; ratio cancer to noncancer 89:156; age, gender, comorbidity","Other: participants were not tested for strain but paper includes: "" Of note, our study was performed between March 2020 and March 2021. In that period the SARS-CoV-2 back- ground strain and the SARS-CoV-2 alpha variant were the most commonly observed variants and vaccines were not available.""","median ","74","range ","51-95","median ","76","range ","26-97","50.6","54.6"
75567,"Bazgir 2022","Peer-reviewed","International Journal of Cancer Management","all patients with COVID-19 who were admitted to the hospital were eligible for enrolment into the Ilam COVID-19 monitoring and evaluation project (Ilam-CEMP). The Ilam-CEMP is one of the first registries in the country (Iran) that enables near real-time monitoring of essential data and trends about the effect of COVID-19 on patients","2022-10","Retrospective","Cohort","Iran","2020-03-05","2021-03-21","320","This study’s primary outcome was in-hospital mortality or discharge from the hospital.","","64","256","no","ICU admission; Mortality","All types cancer; active cancer = receiving treatments for cancer such as adjuvant, radical, cura-tve, neo-adjuvant settings, or chemotherapy within the past two months. ","","","","No definition stated.","univariate; multivariate","Age; Sex","At the same time, 256 controls matched cases by age, gender, and without a history of cancer were randomly selected from the same registry dataset.","Matched; 64:256; age, gender, co-morbidities.","Not mentioned","Mean","63.9","SD","2.5","Mean","62.1","SD","0.8","53.1","52.7"
67898,"Plais 2022","Peer-reviewed","Frontiers in Oncology ","","2022-03","Prospective","Cohort","France","2020-03-12","2021-03-08","409","Mortality at day 60 after ICU admission ","","105","315","no","Mortality","All types cancer; Treatment (including chemotherapy, targeted therapy, immunotherapy, radiotherapy, or surgery) administered within 6 months, or active surveillance within 6 months of ICU admission, or haematological cancer that is not in complete remission; Active treatment not stated. ","","","","60-day mortality after ICU admission; All-cause","univariate; multivariate","Age; Other: Cancer type, norepinephrine use, antimicrobial treatment, treatment with hydroxychloroquine and azithromycin, age at admission, period of admittance based on definition 1st and 2nd waves of SARS-Cov-2 in France","Adult patients admitted to participating ICUs without active canceras per above definition. Same cohort/hospitals/country. ","Matched; 1:3; age, antimicrobial treatment, BMI, chronic respiratory disease, congestive heart failure, hospitalisation within the last 3 months, diabetes, HIV, immunosuppressive therapy, PaO2 at baseline, SAPS II and SOFA scores, sex, organ transplant","Not mentioned","Mean","69","NR","65-73","Mean","67","NR","59-75","68.6","69.4"
66861,"Chavez-MacGregor 2022","Peer-reviewed","JAMA Oncology","Optum de-identified COVID-19 electronic health record data set, which contains data from more than 700 hospitals and 7000 clinics across the US.","2022-01","Retrospective","Cohort","USA","2020-01-01","2021-01-28","507307","30-day Mortality, 30-day Mechanical ventilation, 30-day ICU stay, 30-day Hospitalisation","30-day Mechanical ventilation, 30-day ICU stay, 30-day Hospitalisation","14287","493020","no","Severity; Hospitalisation; ICU admission; Mortality","Used the following ICD criteria from electronic health records:  ICD-9: 140-165, 170-176, 179-209, 239  ICD-10: C00-C26, C30-C41, C43, C45-C58, C60-C80, C7A, C7B, C81-C96, D37-D47.   Cancer group was split into: (a) patients receiving treatment (radiotherapy or systemic therapy) <3 months before COVID diagnosis, and (b) patients not receiving recent treatment.  Both groups are included in our review given that all cancer patients had to have at least two ICD codes for cancer within 1 year before COVID diagnosis.","no definition stated","30-day Mechanical ventilation","ICU admission within 30-days of positive COVID test. Identified from the following electronic health record codes: 0200 - General classification ICU, 0201 - Surgical ICU, 0202 - Medical ICU, 0203 - Pediatric ICU, 0204 - Psychiatric ICU, 0206 - Intermediate ICU, 0207 - Burn care, 0208 - Trauma care, 0209 - Other intensive care, 0210 - General classification cardiac care unit (CCU), 0211 - Myocardial infarction care, 0212 - Pulmonary care, 0213 - Heart transplant, 0214 - Intermediate CCU, 0219 - Other coronary care.","30 day mortality; covid-19 specific mortality","multivariate","Age; Sex; Comorbidities; Other: race, diagnosis period, skilled nurse facility, insurance, geographical region","Controls drawn from the same data source (Optum COVID-19 electronic health record data set) - so from the same >700 hospitals and the same >7000 clinics across the US.","Matched; 1:5; age, sex, comorbidities","Not mentioned","Median","With recent cancer treatment: 66; Without recent cancer treatment: 68","IQR","With recent cancer treatment: 57-75; Without recent cancer treatment: 59-77","Median","48","IQR","32-61","47.9","44.5"
70896,"Abuhelwa 2022","Peer-reviewed","Cancers","the Healthcare Cost and Utilization Project Nationwide Inpatient Sample (NIS) 2020 database","2022-12","Retrospective","Cohort","USA","2020-01-01","2020-12-31","1050045","All-cause in-hospital mortality","(i) morbidity as measured by the rates of septic shock, acute respiratory failure, acute respiratory distress syndrome, and mechanical ventilation (ii) resource utilization as measured by length of hospital stay and total hospitalization charges.","27760","1022285","no","Severity; ICU admission; Mortality","All cancer; active cancer, active treatment not stated","N/A","N/A","Mechanical ventilation","Mortality; all cause","multivariate","Age; Sex; Comorbidities; Other: age, sex, race, admission type, admission day, hospital bed size, hospital teaching status, hospital region, insurance status, median annual income, and comorbidities.","Patient with a COVID-19 diagnosis without a cancer diagnosis","Matched; 27760:1022285; age, sex, race, comorbidities","Not mentioned","mean","70.92","95% CI","70.52-71.32","mean","64.57","95% CI","64.41-64.74","56.57","52.7"
69998,"Serraino 2021","Peer-reviewed","Cancer Medicine","""For the aims of this investigation, the following data sources were used: microbiological laboratory records; hospital discharge database; Johns Hopkins Adjusted Clinical Group (ACG) system® database; cancer registry; diabetes registry; and municipal registries.""","2021-11","Retrospective","Cohort","Italy","2020-02-26","2020-12-31","263042","- Odds of positive COVID PCR result in cancer vs non-cancer patients; - Risk of admission to ICU for COVID-positive cancer vs non-cancer patients (all-cause); - Risk of death for COVID-positive cancer vs non-cancer patients (all-cause)","","3098","38268","no","ICU admission; Mortality","Breast Cancer, Prostate Cancer, Colon Cancer, Skin Melanoma, Kidney Cancer, Lung and Larynx Cancer, Thyroid Cancer, Bladder Cancer, Endometrium Cancer, Non-Hodgkin Lymphomas, Leukaemia, Multiple Myeloma, Hodgkin Myeloma; diagnosed in last 3 months; active treatment not stated ","","","""The hospital discharge database (updated on 31 December 2021) was used to assess admissions to ICUs"" - no further information given re defining ICU admission","37 days; all cause ","multivariate","Age; Sex","Controls recruited from the same data sources as cancer patients (microbiological laboratory records; hospital discharge database; Johns Hopkins Adjusted Clinical Group (ACG) system® database; cancer registry; diabetes registry; and municipal registries).","No Matching ","Not mentioned","","","","","","","","","1452 (46.9)","17876(46.7)"
68083,"Kim 2022","Peer-reviewed","PLOS One","Optum® de-identified COVID-19 Electronic Health Record (EHR) Optum1’s longitudinal EHR repository is derived from more than 700 hospitals and 7000 clinics in the United States","2022-05","Prospective","Cohort ","USA","2020-06-01","2020-12-31","271,639","Our primary objective was to determine the effect of cancer on the outcomes of COVID-19, specifically hospitalization, intensive care unit (ICU) admission, ventilator use, and all-cause deaths occurring within 30 days of COVID-19 infection, by comparing these outcomes between COVID-19 patients with and without a cancer diagnosis. ","The secondary objective was to identify factors associated with mortality in COVID-19 patients with recent cancer treatment. Potential predictors included chemotherapy and radiation therapy within 3 months before the COVID-19, age, sex (not included for breast, endometrial, and prostate cancers), race/ethnicity, insurance type, regions, and comorbidity conditions such as chronic conditions identified and known risk factors ","10426","253179","no","Severity; Hospitalisation; ICU admission; Mortality","All types of cancer; Cancer diagnosed within one year before COVID diagnosis; Active treatment not stated.","Ventilator use","Ventilator use","Admitted to ICU is given as an outcome","30-day mortality; all-cause","univariate; multivariate","Age; Sex; Comorbidities","Yes 253,179 pts Non cancer: 18,460 cancer with 10,246 patients with a diagnosis of cancer within 1 year","Matched; No matching ratio; Not reported.","Not mentioned","median","66","IQR","57-76","median","46","IQR","32-60","47.3","42.7"
75065,"Zhou 2023","Peer-reviewed","Cancer Medicine","population based study on patients who presented to Hong Kong public hospitals and outpatient clinics using CDARS, a territory-wide database that centralizes patient information from 43 local hospitals and their associated ambulatory and outpatient facilities","2022-01","Retrospective","Cohort","China","2020-01-01","2020-12-08","6089","composite endpoint of requirement for intubation, ICU admission and 30-day mortality. Details regarding the individual components that constitute this composite endpoint were extracted from CDARS","","142","5947","no","Severity; ICU admission; Mortality; Other: The primary outcome was a severe composite endpoint of requirement for intubation, ICU admission and 30-day mortality.","The inclusion criteria for this study were as follows: patients who had a positive RT-PCR for COVID-19, had pre-existing active malignancy diagnosed by clinical, radiological and pathological investigations and were admitted to the public hospital within the stated time period. The exclusion criteria included malignancy diagnosed after COVID-19 infection and patients in complete remission from cancer.","","The primary outcome was a severe composite endpoint of requirement for intubation, ICU admission and 30-day mortality.","The primary outcome was a composite endpoint  of patients who required intubation, required intensive care unit (ICU) admission and/or suffered 30-day mortality.","30 day mortality; no definition ","univariate; multivariate","Age; Sex; Comorbidities; Other: multivariate analysis is also adjusted for medication treatments ","Same hospitals   The following study consisted of 6089 COVID-19 patients (median age: 45.9 [27.8.1–62.7] years; 50% male), of which 142 were cancer subjects","No Matching.","Not mentioned","Median","63.82","IQR","51.01–78.62","Median","45.22","IQR","27.62–62.33","45.07","49.87"
71633,"Raad 2023","Peer-reviewed","eLife","","2023-01","Retrospective","Cohort","Australia, Brazil, France, Japan, Lebanon, Singapore, South Korea, Spain, USA","2020-01-04","2020-11-15","3966","30 day mortality","Hospital readmissions within 30 days after  COVID-19 diagnosis, mechanical ventilation, progression to lower respiratory tract infection, co-infection","1115","2851","Other: No","Hospitalisation; ICU admission; Mortality","All types cancer; diagnosed or treated within 1 year before the diagnosis of COVID-19; active treatment not stated","","","","","multivariate","Age; Other: Country, tocilizumab treatment, convalescent plasma treatment","Same multinational cohort","Matched; 1:2.56; country","Not mentioned","Median","61","Range","18-100","Median","50","Range","18-100","45","47"
67122,"Rugge 2022","Peer-reviewed","Tumori Journal","Regional Population-Based Cancer Registries","2021-12","Retrospective","cohort","Italy","2020-02-22","2020-07-31","21101","Patients’ hospitalization (whatever the clinical setting, other than the intensive care unit [ICU]) and admission to an ICU","Vital status (mortality)","324","20777","no","Hospitalisation; ICU admission; Mortality","All Types Cancer; Diagnosed ≤12 months before testing positive for COVID-19; Active treatment not stated","","","","No definition stated","multivariate; Other: Crude","Age; Sex; Comorbidities","The resident population of the Veneto and Friuli Venezia Giulia regions (in North-Eastern Italy) who tested positive for SARS-CoV-2 without a history of cancer","No matching; No matching ratio","Not mentioned","Median","73","IQR","62-82.25","Median","51","IQR","36-66","53.4","40.1"
72593,"Anantharaman 2021","Peer-reviewed","The Oncologist ","","2020-12","Retrospective","Cohort Study","USA","2020-02-25","2020-06-08","4627","Emergency department visit, inpatient hospitalisation, ICU stay, mechanical ventilation, non invasive ventilation and mortality between Covid-19 diagnosis and first 45 days of diagnosis or end of study","Distinct primary and secondary outcomes not stated","33","4380","no","Severity; Hospitalisation; ICU admission; Mortality; Other: ED visit, non invasive ventilation ","All Types Cancers; Patients having active treatment for cancer in the 180 days prior to COVID-19 diagnosis; On active treatment","Invasive mechanical ventilation","Requiring invasive mechanical ventilation","","45-day mortality; Cause not stated","multivariate","Age; Sex; Comorbidities; Other: cancer history, age, sex, race/ethnicity, body mass ass index, Charlson comorbidity index, hypertension, diabetes, smoking status, and neighborhood deprivation index and week of COVID-19 diagnosis","Adults with positive lab test for Covid-19 with no cancer history. Adults with positive lab test for Covid-19 with history of cancer in Kaiser Permanente Northern California (KPNC) cancer registry but no active treatment cancer in 180 days prior to Covid-19 diagnosis and no history of cancer.   N.b.Adjusted ORs calculated adjusting for demographic and clinical characteristics (cancer history, age, sex, race/ethnicity, body mass index, charlson comorbidity index, hypertension, diabetes, smoking status, neighbourhood deprivation index) and week of Covid-19 diagnosis to account for changing testing and treatment guidelines. ","No matching","Not mentioned","","","Age groups","18-59: 39%; 60-69: 24%; 70+: 36%","","","Age groups","18-59: 77%; 60-69: 13%; 70+: 10%","45%","48%"
